"Achmi.action","Agrsm.action","Amocan.action","Andge.action","Asctu.action","Elyca.action","Koecr.action","Lesca.action","Liaas.action","Luppe.action","Monfi.action","Panvi.action","Petpu.action","Poapr.action","Queel.action","Quema.action","Schsc.action","Sornu.action","environment.initial","Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome","diversity.desirability"
0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,41.83,0,2.83,0,102.33,0,0,0,0,0,0,0.735360052207802
1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0.52,0,0,0,0,0,0,37.85,0,0,0,0,0,6.92,0,0,0,0,0.488311518080949
0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,49.25,0,0,6.47,0,0,0,0.35,0,0,0,0,0,0,0,0.394783930758113
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.606639493403571
1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.55,0,0,76.18,0,0,9.97,0,0,0,0,0,15.37,0,0,0,0,0,0.758795476455989
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.62,0,0,0,128.97,0,0.598385523581139
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.12,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,6.7,0,0,0,0,0,0,0,122.48,0,0,16.5,56.8,0,0,0,85.42,0,1.29569768226558
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.38,0,0,0,0,0,0,0,0,65.25,0,0.472279704200977
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.97,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,5.83,0,0,113,2.83,0,0,2,14.83,2.17,0.17,0,14.33,0,0,0,12.17,10.83,1.3404090314112
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0.23,1.63,0,118.18,0,0,0,0,0,0,0,0,0,0.173393572281977
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.57,20.15,0,0,0,0,0,0,0,0,0,0,0.17874239611458
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1.77,0,0,109.2,0,0,0,56.62,0,0,3.58,1.88,0,6.7,0,0,0,0,0.960459634267415
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.17,0
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0.02,0,0,15.4,0,0,6.33,19.95,9.07,0,0,0,18.57,0,0,0,40.17,20.82,1.80677418804516
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.67,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,66.33,0,0,9,10.17,19.17,10.67,0,14,12.17,0,0,0,36.5,31.67,1.95201453386739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,33.83,0,0,10,4.83,27.5,0,0,0,23.83,8.67,0,0,60.67,5.83,1.77140110850696
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,64.92,0.0225909534952302
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.7,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.18,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0.201276426966216
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,6,0,0,192.55,0,0,0.9,5.82,0,0.2,3.47,2.15,14.37,8.32,0,0,0,29.27,1.03257420608926
1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0.67,0,0,0,0,0,13.83,0,0,0,0.5,0,22.83,0,0,0,0,0,0.801268750593779
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2.85,0,0,0,23.22,0,0,1.58,0,2.72,9.67,3.03,52.92,0,0,0,55.48,20.43,1.66098374272141
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0,117.03,0.322435415376984
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.93,0,0,27.78,0,0.02,0,0,0,0,0.52302127049114
0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,35.13,0,0,9.58,0,8.48,0,0,0,0,0,0,0,60.12,32.63,1.38719480236249
1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,7.85,0,0,0,0,0,0.25,0,12.02,0,3.75,18.7,0,0,0,0,44.68,0,1.31462458634788
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.97,0,0,0,0,0,0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.17,0,0,0,0,0,0.17,2.33,0,23.67,0,1.83,15.5,8.83,0,0,66.17,85.33,1.41660532227556
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,21.65,101.47,0,0,0,36.12,0,0,0,0,0,0.894965734505647
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,350.58,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0.100957715889544
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,6.63,0,0,0,0,0,0,0.0892598045159626
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,21.22,0,0,0,0,0,0,158.55,0,0.363000984198319
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,86.5,0,0,0,0,63,0.923939551452707
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,8.6,0,0,405.42,0,0,0,20.77,0,6.57,10.58,2.77,5.27,28.48,0,0,0.97,26.05,0.91955040925802
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.83,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,174.03,8.75,0,0,4.28,0,15.5,1.18,0,0,10.12,0,0,0,12.58,0.913481322738663
1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,3.12,2.52,0,0,0,0,1.1,2.43,0,9.37,0,48.92,0,7.88,0,0,183.9,0,0.949635860994224
1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,3.2,0,0,0,0,0,1.03,34.35,23.28,13.62,0,0,0,12.15,0,0,138.17,0,1.2327972542254
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,55.4,0,0,12.25,12.83,0,0,0,0,0,2.2,0,0,46.92,0,1.25223504716923
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,102.8,0,0,1.87,5.2,0,4.78,0,1.35,19.9,9.15,0,0,22.43,54.27,1.52255491814224
0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.48,0,70.1,0,0,0,0,2.15,0,0,0,0,0.314167436008092
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.08,0.0533509164921715
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.92,0,0,0,157.08,0,0.604315299460476
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,101.4,0,0,0.52,25.37,17.28,3.07,4.23,0.9,29.6,8.37,0,0,19.55,22.8,1.77802675105113
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,45.72,0,0,0,0,0,0,0,0,61.03,9,0,0,108.72,0,1.1582883291324
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2.17,2.92,5.43,0,0,0,0,212.85,40.07,0.62817591573416
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,247.68,0,0,0,73.57,23.07,0,0,0,0,0.747840285878493
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.2,0,0,173.88,0,0,0,1.52,3.13,7.58,0,3.7,13.45,7.72,0,0,15.75,49.95,1.25155621073171
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.58,0,0,0,24.8,0,0,0,0,0,0,0.610047852941073
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,4.52,0,0,112.02,0,0,0.27,2.28,0,0.25,0,0,32.88,5.22,0,0,21.88,30.42,1.38165174763055
0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,53.68,0,0,1.17,0,71.55,6.65,1.98,0.07,20.25,5.52,0,3.85,26.27,29.08,1.79189227737942
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,2.05,0,0,86.62,0,0,0,0.75,85.27,4.08,0,1.4,54.67,3.72,0,0,10.5,14.27,1.55078556744112
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.67,0,0,0,0,0,0,24.17,9.5,0.33,4.67,25.83,23.17,8.83,0,0,15.17,53.17,1.95868731938665
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83.17,0,0,0,0,0,0,0,0,158.5,0,0.643747900085828
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.17,0,0,40.17,0,0,0,0,0,0,0,0,15.83,0,0,0,94.33,16,1.12080073580075
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.58,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,17.57,0,0,501.33,0,0,0,2.05,0,22.78,7.88,8.62,5.95,17.82,0,1.17,3.62,94.12,1.00691135855811
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.17,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.45,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.08,0
1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,3.47,0,0,11.02,1.25,0,0,0,0,0,0,16.05,0,0,0,0,23.15,14.28,1.54591745526963
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,40.27,0,0,0,0,0,3.12,0,0,71.88,13.78,1.0182244733969
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,0,0.132603174197821
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.45,0,0,0,0,0,0
0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,269.98,0,0,0,2.6,0,19.65,0,0,0,13.57,0,0,0,13.73,0.622416939309473
0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,169.75,0,0,0,14.25,0,3.35,0,0,43.57,0,0,0,9.2,0,0.907064610061275
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,126.35,25.73,0,0,14.83,0,2.03,0,2.63,14.03,13.23,0,0,21.77,107.12,1.58763203473699
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,123.67,0,0,0,0,0,0,0.0942674209505446
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1.22,0,0,65.12,1.83,0,1.23,44.37,42.13,0.93,0,3.38,0,5.35,0,0,16.62,40.9,1.77227627820432
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.47,0.82,0,0,0,0,0,0,0,0,0.115555946708816
1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,2.4,50.47,0,0,0,0,0.1,0,77.18,5.92,44.77,0,0,21.87,0,0,0,0,1.44708255824877
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,45.68,0,0,0,0,0,0,0,0,0,0,0,0.0928944231321998
0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,7.38,0,0,0,0,0,0,7.88,9.8,0,0,0,90.23,0,0.760692770546956
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,8.75,0,0,0,0,0,0,0.485954332816149
1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,20.5,0,0,0,0,0,5.5,89.5,96.17,4.67,0,0,0.17,0,0,0,0,0,1.13049490469115
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,2.02,0,0,195.7,0.12,0,0,21.1,0,41.1,21.37,0.65,0,14.62,0,0,30.07,25.08,1.49062292511104
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0.27,0,0,0,0,0.266909003913373
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19.65,0,0,0,0,36.75,62.7,0,0,0,0,0,0.997876471677668
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1.97,0,0,162.25,3.52,0,0,4.03,0,2.4,2.6,0,26.73,3.65,0,0,10.48,0,0.976888180112772
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1.4,0,0,113.28,0,0,1.07,20.05,0,2.58,0,0.7,6.9,2.1,0.2,0,43.7,50.5,1.46441866588987
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,53.83,0,0,0,0,0,0,0,0,0,0.677075794074757
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0.33,0,0,114.17,0,0,0,8.67,68.5,1.33,0,1.83,15.33,0,0,0,10.83,0,1.24438223930446
