"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome","diversity.desirability"
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.13096,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1019,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.10751,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.11583,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0.001752,0,0,0.103368,0,0.0847660757148099
0,0,0,1,0,0,0,1,0,0,0,0,0.0406055,0,0,0,0.0843345,0.630581028386015
0,0,0,1,0,0,0,1,0,0,0,0,0.0469170860927152,0,0,0,0.0893229139072848,0.643892164433741
0,0,0,1,0,0,0,1,0,0,0,0,0.0612820143884892,0,0,0,0.0806879856115108,0.683775702352125
0,0,0,1,0,0,0,1,0,0,0,0,0.054321213592233,0,0,0,0.098968786407767,0.650109308317126
0,0,0,0,1,1,0,0,0,0,0,0,0,0.0342725555555556,0.0998374444444445,0,0,0.568356642935097
0,0,0,0,1,1,0,0,0,0,0,0,0,0.05382375,0.08970625,0,0,0.661563238157982
0,0,0,0,1,1,0,0,0,0,0,0,0,0.0846043661971831,0.0619056338028169,0,0,0.681097113875945
0,0,0,0,1,1,0,0,0,0,0,0,0,0.0712567741935484,0.0668032258064516,0,0,0.692626798924835
0,0,0,0,1,0,1,0,0,0,0,0,0,0.0463872413793103,0,0.10308275862069,0,0.619376289741446
0,0,0,0,1,0,1,0,0,0,0,0,0,0.0470960714285714,0,0.108043928571429,0,0.613860064877793
0,0,0,0,1,0,1,0,0,0,0,0,0,0.0532322641509434,0,0.0952577358490566,0,0.652544773153785
0,0,0,0,1,0,1,0,0,0,0,0,0,0.0511546153846154,0,0.0966253846153846,0,0.645033151676034
0,0,0,0,1,0,0,1,0,0,0,0,0,0.0616791919191919,0,0,0.0682408080808081,0.69187125774462
0,0,0,0,1,0,0,1,0,0,0,0,0,0.0426584347826087,0,0,0.0936115652173913,0.621514196803992
0,0,0,0,1,0,0,1,0,0,0,0,0,0.0536313953488372,0,0,0.0781486046511628,0.675739279729437
0,0,0,0,1,0,0,1,0,0,0,0,0,0.065953125,0,0,0.060676875,0.692278873656319
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.14646,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.15225,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.13332,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.138743370786517,0.00157662921348315,0,0.0616067104727897
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.148311666666667,0,0.00279833333333333,0.0922160573371915
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.145125925925926,0,0.00181407407407407,0.0665216142537902
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.14273,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1483,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0888036974789916,0.0600363025210084,0.674351057871931
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.120050526315789,0.0225094736842105,0.436162325385345
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0796911111111111,0.0576488888888889,0.680212177915374
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.107601012658228,0.0252189873417722,0.486039367004336
1,1,1,0,0,0,0,0,0,0.0682074,0,0.1324026,0,0,0,0,0,0.641035477881156
1,1,1,0,0,0,0,0,0,0.053643258427,0,0.137326741573,0,0,0,0,0,0.593800269094957
1,1,1,0,0,0,0,0,0,0.046928372093,0,0.121231627907,0,0,0,0,0,0.592072600891209
1,1,1,0,0,0,0,0,0,0.0542572277228,0,0.111802772277,0,0,0,0,0,0.631840581392466
1,1,1,0,0,0,0,0,0,0.0504858490566,0,0.102414150943,0,0,0,0,0,0.634312175036596
1,1,1,0,0,0,0,0,0,0.0437899130435,0,0.113580086957,0,0,0,0,0,0.591303264565071
1,1,0,1,0,0,0,0,0,0.0370137888199,0.11204173913,0,0.0120044720497,0,0,0,0,0.783921655977481
1,1,0,1,0,0,0,0,0,0.0516917829457,0.115626356589,0,0.00816186046512,0,0,0,0,0.777609399039079
1,1,0,1,0,0,0,0,0,0.0250479310345,0.134980517241,0,0.00139155172414,0,0,0,0,0.479679358719696
1,1,0,1,0,0,0,0,0,0.0435445544554,0.101603960396,0,0.00145148514851,0,0,0,0,0.660362215917078
1,1,0,1,0,0,0,0,0,0.0434112,0.1100784,0,0.0015504,0,0,0,0,0.6456502104397
1,1,0,1,0,0,0,0,0,0.0448254263566,0.0825195348837,0,0.00407503875969,0,0,0,0,0.766789901529572
1,1,0,0,1,0,0,0,0,0.0908335483871,0,0,0,0.0851564516129,0,0,0,0.692626798924834
1,1,0,0,1,0,0,0,0,0.037315625,0,0,0,0.082094375,0,0,0,0.621086374555245
1,1,0,0,1,0,0,0,0,0.0389508791209,0.0321768131868,0,0,0.0829823076923,0,0,0,1.00800343862727
1,1,0,0,1,0,0,0,0,0.05690625,0.00517329545455,0,0,0.0896704545455,0,0,0,0.793867953561926
1,1,0,0,1,0,0,0,0,0.0686329292929,0,0,0,0.0790770707071,0,0,0,0.690645348551119
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,1,0,0,0,1,0,0,0,0.00324611111111,0.0275919444444,0,0,0,0.202881944444,0,0,0.434465116431332
1,1,0,0,0,1,0,0,0,0.0069797029703,0.0418782178218,0,0,0,0.0921320792079,0,0,0.787394536784193
1,1,0,0,0,1,0,0,0,0.00112104347826,0.0347523478261,0,0,0,0.0930466086957,0,0,0.62999844326616
1,1,0,0,0,1,0,0,0,0.00376748201439,0.038930647482,0,0,0,0.131861870504,0,0,0.629328055636434
1,1,0,0,0,1,0,0,0,0,0.0521871428571,0,0,0,0.0903728571429,0,0,0.656831674823412
1,1,0,0,0,1,0,0,0,0.00271606299213,0.0353088188976,0,0,0,0.0769551181102,0,0,0.719776867035516
1,1,0,0,0,0,1,0,0,0.054235304878,0.179537560976,0,0,0,0,0.0729371341463,0,0.961403564106541
1,1,0,0,0,0,1,0,0,0.0117509016393,0.121425983607,0,0,0,0,0.0261131147541,0,0.695648753499111
1,1,0,0,0,0,1,0,0,0.0274598305085,0.105503559322,0,0,0,0,0.0375766101695,0,0.924427083817159
1,1,0,0,0,0,1,0,0,0.0151228125,0.099558515625,0,0,0,0,0.046628671875,0,0.878520709933781
1,1,0,0,0,0,1,0,0,0.0300189147287,0.0658106976744,0,0,0,0,0.0531103875969,0,1.05142529976001
1,1,0,0,0,0,1,0,0,0.0324776271186,0.0649552542373,0,0,0,0,0.0394371186441,0,1.05358565155858
1,1,0,0,0,0,0,1,0,0.0932573469388,0.225552653061,0,0,0,0,0,0,0.604390012047497
1,1,0,0,0,0,0,1,0,0.0327709649123,0.129659035088,0,0,0,0,0,0,0.502824921557271
1,1,0,0,0,0,0,1,0,0.0302785714286,0.126721428571,0,0,0,0,0,0,0.490339430491616
1,1,0,0,0,0,0,1,0,0.0410728888889,0.119647111111,0,0,0,0,0,0,0.56835664293534
1,1,0,0,0,0,0,1,0,0.0426933606557,0.0784366393443,0,0,0,0,0,0,0.648955591292757
1,1,0,0,0,0,0,1,0,0.0236665625,0.0845234375,0,0,0,0,0,0,0.525321319515595
1,0,1,1,0,0,0,0,0,0.0530217721518987,0,0.0820982278481013,0,0,0,0,0,0.669811752940207
1,0,1,1,0,0,0,0,0,0.0454584269662921,0,0.0894015730337079,0,0,0,0,0,0.639078722088296
1,0,1,1,0,0,0,0,0,0.0482704587155963,0,0.0901895412844037,0,0,0,0,0,0.646590585536152
1,0,1,1,0,0,0,0,0,0.0454676315789474,0,0.111602368421053,0,0,0,0,0,0.601679754913255
1,0,1,0,1,0,0,0,0,0.0411509183673469,0,0.0862841836734694,0,0.00265489795918367,0,0,0,0.715834108840206
1,0,1,0,1,0,0,0,0,0.0464104615384615,0,0.0847495384615385,0,0,0,0,0,0.649795101676069
1,0,1,0,1,0,0,0,0,0.0401753246753247,0,0.0337472727272727,0,0.0498174025974026,0,0,0,1.08587723804931
1,0,1,0,1,0,0,0,0,0.0517087654320988,0,0.0300244444444444,0,0.0533767901234568,0,0,0,1.06872268713217
1,0,1,0,0,1,0,0,0,0.0598082352941176,0,0.0804317647058824,0,0,0,0,0,0.682294715931048
1,0,1,0,0,1,0,0,0,0.0470433333333333,0,0.0940866666666667,0,0,0,0,0,0.636514168294813
1,0,1,0,0,1,0,0,0,0,0,0.0736484848484849,0,0,0.0782515151515152,0,0,0.692687973442475
1,0,1,0,0,1,0,0,0,0.02817,0,0.0965828571428572,0,0,0.0160971428571429,0,0,0.828495478168915
1,0,1,0,0,0,1,0,0,0.0196705128205128,0,0.100319615384615,0,0,0,0.0334398717948718,0,0.873201326076301
1,0,1,0,0,0,1,0,0,0.00944038461538461,0,0.109508461538462,0,0,0,0.0283211538461538,0,0.71345706783836
1,0,1,0,0,0,1,0,0,0.00576216867469879,0,0.109481204819277,0,0,0,0.0441766265060241,0,0.733706558411729
1,0,1,0,0,0,1,0,0,0.00316172043010753,0,0.0901090322580645,0,0,0,0.053749247311828,0,0.750486864501227
1,0,1,0,0,0,0,1,0,0.0451333333333333,0,0.0902666666666667,0,0,0,0,0,0.636514168294813
1,0,1,0,0,0,0,1,0,0.0525013861386139,0,0.103458613861386,0,0,0,0,0,0.638777315493297
1,0,1,0,0,0,0,1,0,0.0578008421052632,0,0.0947291578947368,0,0,0,0,0,0.663546460286252
1,0,0,1,1,0,0,0,0,0.049632,0,0,0.0235752,0.0508728,0,0,0,1.04761045095213
1,0,0,1,1,0,0,0,0,0.0537446341463415,0,0,0.0109682926829268,0.0701970731707317,0,0,0,0.910610673483148
1,0,0,1,1,0,0,0,0,0.0491467058823529,0,0,0.0312751764705882,0.0461681176470588,0,0,0,1.08061214990649
1,0,0,1,0,1,0,0,0,0.0281775,0,0,0.0093925,0,0.11271,0,0,0.70291893077351
1,0,0,1,0,1,0,0,0,0.0127029411764706,0,0,0.00889205882352941,0,0.107975,0,0,0.563476942941089
1,0,0,1,0,1,0,0,0,0.0201842857142857,0,0,0.00366987012987013,0,0.117435844155844,0,0,0.52651114007549
1,0,0,1,0,1,0,0,0,0.0120368041237113,0,0,0.00401226804123711,0,0.113680927835052,0,0,0.443822165475472
1,0,0,1,0,0,1,0,0,0.0380542528735632,0,0,0,0,0,0.0801857471264368,0,0.628247940777076
1,0,0,1,0,0,1,0,0,0.102313524590164,0,0,0.0300922131147541,0,0,0.014444262295082,0,0.804708485546061
1,0,0,1,0,0,1,0,0,0.00763636363636364,0,0,0,0,0,0.109963636363636,0,0.240335939628665
1,0,0,1,0,0,1,0,0,0.00293272727272727,0,0,0,0,0,0.109977272727273,0,0.120456033849227
1,0,0,1,0,0,0,1,0,0.055291775147929,0,0,0.055291775147929,0,0,0,0.021026449704142,1.02168488106518
1,0,0,1,0,0,0,1,0,0.0761895625,0,0,0.0470834375,0,0,0,0.013697,0.923590179922684
1,0,0,1,0,0,0,1,0,0.0611320224719101,0,0,0.0681185393258427,0,0,0,0.0261994382022472,1.0286718824544
1,0,0,1,0,0,0,1,0,0.07956,0,0,0.05148,0,0,0,0.01404,0.923106181396692
1,0,0,0,1,1,0,0,0,0.0541679411764706,0,0,0,0.0583347058823529,0.0291673529411765,0,0,1.05834536858673
1,0,0,0,1,1,0,0,0,0.0449115789473684,0,0,0,0.0639126315789474,0.0224557894736842,0,0,1.01943315076798
1,0,0,0,1,1,0,0,0,0.0402130864197531,0,0,0,0.0681874074074074,0.0332195061728395,0,0,1.04951567603554
1,0,0,0,1,1,0,0,0,0.04337,0,0,0,0.0374559090909091,0.0492840909090909,0,0,1.09239458748475
1,0,0,0,1,0,1,0,0,0.040910198019802,0,0,0,0.0694233663366337,0,0.0148764356435644,0,0.945582655385634
1,0,0,0,1,0,1,0,0,0.0407605633802817,0,0,0,0.0570647887323944,0,0.0179346478873239,0,1.0051316266946
1,0,0,0,1,0,1,0,0,0.0394535849056604,0,0,0,0.065345,0,0.0258914150943396,0,1.02887313656447
1,0,0,0,1,0,1,0,0,0.0514702083333333,0,0,0,0.0528246875,0,0.0257351041666667,0,1.05339486987595
1,0,0,0,1,0,0,1,0,0.0610232926829268,0,0,0,0.0553467073170732,0,0,0,0.691956940265724
1,0,0,0,1,0,0,1,0,0.0567742222222222,0,0,0,0.0543057777777778,0,0,0,0.692900246653578
1,0,0,0,1,0,0,1,0,0.0522121495327103,0,0,0,0.0692378504672897,0,0,0,0.683288554526669
1,0,0,0,1,0,0,1,0,0.0610948,0,0,0,0.0563952,0,0,0,0.692346967089961
1,0,0,0,0,1,1,0,0,0.0056896694214876,0,0,0,0,0.130862396694215,0.00113793388429752,0,0.219638609035218
1,0,0,0,0,1,1,0,0,0.00802872549019608,0,0,0,0,0.108961274509804,0,0,0.250074031466246
1,0,0,0,0,1,1,0,0,0.0189077142857143,0,0,0,0,0.120412285714286,0,0,0.397106732456675
1,0,0,0,0,1,1,0,0,0.0317958974358974,0,0,0,0,0.0844235897435898,0.0120605128205128,0,0.843358169386444
1,0,0,0,0,1,0,1,0,0.0152065040650407,0,0,0,0,0.101693495934959,0,0,0.386541226565423
1,0,0,0,0,1,0,1,0,0.0114386363636364,0,0,0,0,0.0964113636363636,0,0,0.338198980907871
1,0,0,0,0,1,0,1,0,0.0338622099447514,0,0,0,0,0.111261546961326,0,0.000806243093922652,0.574501823975242
1,0,0,0,0,1,0,1,0,0.0312792792792793,0,0,0,0,0.0916036036036036,0,0.00111711711711712,0.613559889955808
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.108849230769231,0.0238107692307692,0.47061498118148
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.11791,0,0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.130072857142857,0.00156714285714286,0.0645814363776277
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0518871264367816,0.0808828735632184,0.669106632962492
0,1,1,1,0,0,0,0,0,0,0,0.08993,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0.11497,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0.0767,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0.08109,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0.08935,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0.0985,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0.09238,0,0.00894,0,0,0,0.298435812703107
0,1,1,0,1,0,0,0,0,0,0,0.0939,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0.07558,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0.0805238709677,0,0.0234861290323,0,0,0,0.534159366687647
0,1,1,0,1,0,0,0,0,0,0,0.04758,0,0.02928,0,0,0,0.664528438654915
0,1,1,0,0,1,0,0,0,0,0,0.124446185567,0,0,0.040913814433,0,0,0.559485915285068
0,1,1,0,0,1,0,0,0,0,0,0.112541746032,0,0,0.0603882539683,0,0,0.646953953236407
0,1,1,0,0,1,0,0,0,0,0,0.1181326,0,0,0.0755274,0,0,0.668748086851809
0,1,1,0,0,1,0,0,0,0,0,0.0805362637363,0,0,0.102683736264,0,0,0.685823402851909
0,1,1,0,0,1,0,0,0,0,0,0.1048575,0,0,0.0603725,0,0,0.656453523724577
0,1,1,0,0,1,0,0,0,0,0,0.090192,0,0,0.078918,0,0,0.690923309313818
