Plot;Harvest;Species;Biomass;Notes
88;A16;Pg;23.3547619;
89;A16;Cb;13.79591837;
89;A16;Ga;1.034693878;
89;A16;Lp;6.897959184;
89;A16;Pt;1.034693878;
89;A16;Ra;0.344897959;
89;A16;To;6.897959184;
90;A16;Am;2.086294416;
90;A16;Ao;0.208629442;
90;A16;Dg;1.390862944;
90;A16;Hl;1.043147208;
90;A16;Pg;0.278172589;
90;A16;Pm;0.139086294;
90;A16;Ra;0.208629442;
91;A16;Ao;12.93;
92;A16;Ao;1.322222222;
92;A16;Cj;4.131944444;
92;A16;Hp;5.784722222;
92;A16;Pg;0.826388889;
93;A16;Lp;23.11578947;
94;A16;Cb;9.083333333;
94;A16;Dg;4.541666667;
94;A16;Ga;2.119444444;
94;A16;Hl;1.513888889;
94;A16;Ra;4.541666667;
94;A16;To;6.055555556;
95;A16;Dc;9.1125;
96;A16;Cj;63.2825;
97;A16;Fr;39.1875;
98;A16;Am;23.33254717;
98;A16;Ao;0.358962264;
98;A16;Be;1.435849057;
98;A16;Cj;0.717924528;
98;A16;Dc;0.717924528;
98;A16;Hp;1.435849057;
98;A16;Pm;0.358962264;
98;A16;Sp;0.717924528;
99;A16;Am;5.00617284;
99;A16;Ao;0.333744856;
99;A16;Be;0.333744856;
99;A16;Cb;4.004938272;
99;A16;Cj;3.33744856;
99;A16;Dc;3.33744856;
99;A16;Dg;0.500617284;
99;A16;Fr;1.001234568;
99;A16;Ga;3.33744856;
99;A16;Hl;0.333744856;
99;A16;Hp;0.333744856;
99;A16;Lp;5.00617284;
99;A16;Pg;0.333744856;
99;A16;Pm;0.333744856;
99;A16;Pt;0.333744856;
99;A16;Ra;0.333744856;
99;A16;Sp;3.33744856;
99;A16;To;4.004938272;
100;A16;Be;0.251282051;
100;A16;Cb;15.07692308;
100;A16;Dc;0.502564103;
100;A16;Dg;0.251282051;
100;A16;Hl;0.251282051;
100;A16;Hp;0.251282051;
100;A16;Pg;0.628205128;
100;A16;Ra;1.005128205;
101;A16;Dg;0.490526316;
101;A16;Lp;1.716842105;
101;A16;To;18.39473684;
102;A16;Cb;36.10263158;
102;A16;Ga;2.123684211;
102;A16;Hl;0.424736842;
103;A16;Cb;11.8989899;
103;A16;Ga;1.18989899;
103;A16;Hl;0.297474747;
103;A16;Lp;2.082323232;
103;A16;Pt;0.297474747;
103;A16;Ra;0.297474747;
103;A16;To;11.8989899;
104;A16;Dg;1.773684211;
104;A16;Lp;12.41578947;
104;A16;Ra;0.532105263;
105;A16;Am;5.054545455;
105;A16;Ao;0.842424242;
105;A16;Cb;27.37878788;
105;A16;Ga;1.263636364;
105;A16;Pm;0.421212121;
105;A16;Sp;0.421212121;
106;A16;Dg;3.166666667;
106;A16;Lp;10.55555556;
106;A16;Pt;2.111111111;
106;A16;To;1.688888889;
107;A16;Be;2.384803922;
107;A16;Dc;2.384803922;
107;A16;Fr;9.539215686;
107;A16;Ga;2.861764706;
107;A16;Lp;7.154411765;
107;A16;Pt;1.907843137;
107;A16;Sp;0.953921569;
107;A16;To;7.154411765;
108;A16;Cj;7.444285714;
108;A16;Dg;4.135714286;
108;A16;Sp;6.341428571;
108;A16;To;5.514285714;
109;A16;Hp;7.342857143;
109;A16;Pg;2.447619048;
109;A16;Pm;1.223809524;
109;A16;Sp;7.342857143;
110;A16;Cj;4.38362069;
110;A16;Fr;3.360775862;
110;A16;Ga;3.653017241;
110;A16;Pm;0.292241379;
110;A16;Pt;0.292241379;
110;A16;Sp;3.360775862;
110;A16;To;0.14612069;
111;A16;Ao;2.102380952;
111;A16;Dg;6.307142857;
111;A16;Hp;10.51190476;
111;A16;Ra;12.61428571;
112;A16;Am;27.45098039;
112;A16;Ao;1.029411765;
112;A16;Dc;0.68627451;
112;A16;Pm;0.68627451;
113;A16;Cb;28.42105263;
114;A16;Pt;5.8125;
115;A16;To;19.19387755;
116;A16;Cb;16.74744898;
116;A16;Ga;1.803571429;
116;A16;Hl;0.257653061;
116;A16;Lp;3.864795918;
117;A16;Am;2.468085106;
117;A16;Ao;0;
117;A16;Be;0.246808511;
117;A16;Cb;3.70212766;
117;A16;Cj;1.234042553;
117;A16;Dc;0.246808511;
117;A16;Dg;0.246808511;
117;A16;Fr;0.740425532;
117;A16;Ga;0.246808511;
117;A16;Hl;0.987234043;
117;A16;Hp;0.987234043;
117;A16;Lp;2.468085106;
117;A16;Pg;0.740425532;
117;A16;Pm;0.246808511;
117;A16;Pt;0.987234043;
117;A16;Ra;0.493617021;
117;A16;Sp;0.493617021;
117;A16;To;3.70212766;
118;A16;Am;5.733830846;
118;A16;Ao;0.344029851;
118;A16;Be;0.229353234;
118;A16;Cj;3.440298507;
118;A16;Fr;5.733830846;
118;A16;Hp;1.146766169;
118;A16;Pg;0.458706468;
118;A16;Sp;0.229353234;
120;A16;Am;4.744897959;
120;A16;Ao;0.237244898;
120;A16;Be;2.37244898;
120;A16;Cj;7.117346939;
120;A16;Dc;1.18622449;
120;A16;Fr;3.558673469;
120;A16;Hp;0.474489796;
120;A16;Pm;1.18622449;
121;A16;Hp;10.08;
122;A16;Dc;0.809478673;
122;A16;Hl;3.035545024;
122;A16;Hp;2.023696682;
122;A16;Pg;1.618957346;
122;A16;Pm;2.023696682;
122;A16;To;5.059241706;
123;A16;Ao;0.194117647;
123;A16;Be;0.776470588;
123;A16;Cb;1.358823529;
123;A16;Cj;2.911764706;
123;A16;Hl;0.388235294;
123;A16;Hp;0.970588235;
123;A16;Lp;10.67647059;
123;A16;To;0.194117647;
124;A16;Be;4.033980583;
124;A16;Cj;16.13592233;
124;A16;Dc;2.016990291;
124;A16;Pm;3.227184466;
125;A16;Ao;0.475242718;
125;A16;Be;7.128640777;
125;A16;Cj;9.504854369;
125;A16;Dc;2.376213592;
125;A16;Fr;14.25728155;
125;A16;Pg;3.326699029;
125;A16;Pm;2.376213592;
125;A16;Sp;4.752427184;
126;A16;Sp;12.21;
127;A16;Ao;1.597959184;
127;A16;Cj;10.65306122;
127;A16;Fr;18.64285714;
127;A16;Pg;5.326530612;
128;A16;Ao;1.941346154;
128;A16;Cj;35.59134615;
128;A16;Dc;5.176923077;
128;A16;Sp;8.4125;
129;A16;Dg;5.192727273;
130;A16;Hl;5.635436893;
131;A16;Cb;13.98529412;
131;A16;Dg;1.864705882;
131;A16;Ga;3.729411765;
131;A16;Lp;5.594117647;
131;A16;Pt;1.398529412;
131;A16;Ra;2.797058824;
131;A16;To;13.98529412;
132;A16;Cb;9.328125;
132;A16;Dg;1.5546875;
132;A16;Ga;3.109375;
132;A16;Lp;6.21875;
132;A16;Pt;1.5546875;
132;A16;Ra;3.109375;
133;A16;Ao;1.054716981;
