Block;Plot;Nitrogen;Fungicide;composition;Species_diversity;N;Functional_composition;Sown_sla;Sown_mpd_sla;Notes
4;279;1;0;Sp;1;NA;slow;19.18886709;0;
4;280;0;0;88M;8;7;mixed;21.6688721;0.192316536;
4;281;0;0;Am;1;NA;slow;12.80272186;0;
4;282;0;1;88S;8;8;slow;17.75986031;0.150071654;
4;283;1;1;42M;4;4;mixed;19.19464873;0.120569472;
4;284;0;0;45S;4;4;slow;17.70045579;0.108601237;
4;285;0;1;810S;8;8;slow;18.39855994;0.13921756;
4;286;0;0;Cb;1;NA;fast;22.50229612;0;
4;287;0;1;49F;4;4;fast;26.18366465;0.353744865;
4;288;1;0;89S;8;8;slow;18.05620292;0.119765104;
4;289;1;0;42F;4;3;fast;24.32702197;0.427144704;
4;290;0;0;202;20;18;mixed;21.45168042;0.18246813;
4;291;1;0;82M;8;7;mixed;21.37988027;0.242586219;
4;292;0;1;Pt;1;NA;fast;39.00905368;0;
4;293;0;0;81M;8;8;mixed;24.03507634;0.143312339;
4;294;0;1;Lp;1;NA;fast;21.41923304;0;
4;295;0;1;203;20;18;mixed;21.45168042;0.170691803;
4;296;1;1;45F;4;3;fast;22.90582536;0.258519589;
4;297;1;1;46F;4;3;fast;24.18805459;0.317571327;
4;298;1;1;Dg;1;NA;fast;22.74446252;0;
4;299;0;1;Hl;1;NA;fast;24.07674063;0;
4;300;0;0;810F;8;7;fast;25.75462712;0.279516745;
4;301;1;1;85F;8;6;fast;24.82630578;0.352304647;
4;302;1;1;44M;4;4;mixed;22.00771886;0.16714453;
4;303;0;0;84M;8;6;mixed;19.60133509;0.259258775;
4;304;0;0;82F;8;6;fast;23.68819949;0.2434611;
4;305;1;0;41F;4;3;fast;23.01370794;0.147752727;
4;306;0;1;86M;8;8;mixed;21.28028124;0.185196626;
4;307;1;1;81S;8;8;slow;18.53102948;0.149564195;
4;308;1;0;201;20;18;mixed;21.45168042;0.17737393;
4;309;0;1;410S;4;4;slow;18.06901948;0.144457242;
4;310;0;1;48M;4;4;mixed;20.32896244;0.236771047;
4;311;0;0;84F;8;6;fast;23.55281661;0.291730584;
4;312;0;1;42S;4;4;slow;19.56330635;0.095592568;
