"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action","nitrogen.initial","fungicide.initial","Cj.outcome","Dg.outcome","Sp.outcome","To.outcome","Dc.outcome","Lp.outcome","Pm.outcome","Ao.outcome","Be.outcome","Cb.outcome","Hl.outcome","Hp.outcome","Ra.outcome","Pt.outcome","Fr.outcome","Pg.outcome","Ga.outcome","Am.outcome","herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.061538462,0.030769231,0.01025641,0.102564103,0.01025641,0.307692308,0.01025641,0.01025641,0.01025641,0.051282051,0.256410256,0.015384615,0,0.020512821,0.030769231,0.01025641,0.01025641,0.051282051,NA,8.75,21.45168042,2.10841883884603
0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0.036363636,0,0,0,0,0.054545455,0.018181818,0,0,0.054545455,0,0.545454545,0,0,0.109090909,0,0.181818182,NA,4.35,22.13740542,1.39296414417053
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0.5,16.81648496,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0.075757576,0,0,0.757575758,0,0,0.151515152,NA,2.5,18.06901948,0.755197306483782
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0.8,22.51774405,0
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0.042944785,0,0.552147239,0,0,0,0,0,0.306748466,0.024539877,0,0,0.024539877,0,0,0.049079755,0,NA,2.3,23.68819949,1.15552149490007
0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.438596491,0.122807018,0,0.175438596,0,0,0,0.052631579,0.035087719,0,0,0,0.175438596,0,0,NA,3.6,19.26941218,1.50222495611104
0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0.194805195,0,0.038961039,0,0.064935065,0.012987013,0.064935065,0,0,0.038961039,0,0,0.12987013,0,0,0.454545455,NA,3.4,17.75986031,1.60653478607508
1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0.337837838,0,0.135135135,0,0.081081081,0,0.027027027,0,0.027027027,0,0,0,0,0,0.337837838,0.013513514,0,0.040540541,NA,2.5,17.41621106,1.59070530328213
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,21.56190935,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0.882352941,0,0,0,0.058823529,0,NA,1.8,24.18805459,0.443757282348584
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.289473684,0,0.131578947,0,0.039473684,0,0.026315789,0.013157895,0.026315789,0,0,0,0,0,0,0.039473684,0,0.434210526,NA,3.8,18.95343909,1.49155180035062
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.045454545,0,0.519480519,0.012987013,0,0,0,0,0,0,0,0,0,0.422077922,NA,1.1,18.22913273,0.901206051443831
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.1,20.18788567,0
1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0.16,0,0.026666667,0,0,0,0,0.013333333,0.026666667,0,0,0.026666667,0,0,0.333333333,0.013333333,0,0.4,NA,4.26,18.87338246,1.43101371455098
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.868421053,0,0,0,0.078947368,0,NA,2,25.38613119,0.477931402140131
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.010152284,0.101522843,0.030456853,0.121827411,0.010152284,0.243654822,0.015228426,0.010152284,0,0.121827411,0.040609137,0.010152284,0.152284264,0.010152284,0.040609137,0.010152284,0.020304569,0.050761421,NA,7.63,21.45168042,2.31609178536776
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0.9,22.50229612,0
0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.024691358,0,0.555555556,0,0.308641975,0,0,0,0,0.012345679,0,0,0.037037037,0,0,0.061728395,0,NA,5,23.55281661,1.12900435844401
0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0.555555556,0,0,0,0.066666667,0.022222222,0.022222222,0,0,0.022222222,0,0,0.066666667,0.022222222,0,0.222222222,NA,4.65,18.39855994,1.36023092626
0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0.012048193,0,0.301204819,0,0.240963855,0,0,0,0.421686747,0,0,0,0,0,0,0.024096386,0,NA,4.75,21.48947191,1.2114909998804
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.434782609,0,0,0,0.362318841,0.057971014,0,0,0,0,0,0.144927536,0,NA,3.51,23.63660494,1.17499280131049
0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.032520325,0,0.243902439,0,0.243902439,0,0,0,0.243902439,0,0,0.195121951,0.016260163,0,0,0.024390244,0,NA,5.05,25.75462712,1.62024642979827
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03030303,0.606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636364,NA,1.99,18.41592412,0.777309825334261
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,19.13846723,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.224719101,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0.730337079,0.033707865,0,0,NA,2.4,20.76012964,0.729696426358271
0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0.212121212,0,0.227272727,0,0,0,0,0,0.151515152,0.121212121,0,0.242424242,0,0,0,0.045454545,0,NA,3.5,22.97760119,1.69137905497529
1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.178571429,0,0.119047619,0.178571429,0,0,0.023809524,0,0,0,0,0,0,0.083333333,0.357142857,0,0.05952381,0,NA,1.47,21.37988027,1.70036283079417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0.5,14.01853232,0
0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.048387097,0,0,0.048387097,0.64516129,0.064516129,0,0,0,0.048387097,0.064516129,0,0,0,0.048387097,0.032258065,0,NA,4.45,21.28028124,1.3333412445865
0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.238095238,0.555555556,0.047619048,0,0,0,0,0,0.079365079,0,0,0.079365079,0,0,NA,4.5,21.6688721,1.21538629473055
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.125,0,0,0,0.6875,0,0,0,0,0,0,0,0.1875,0,0,0,0,NA,1.85,24.32702197,0.831402520495638
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.581395349,0,0,0.186046512,0,0,0,0,0,0,0,0,0,0.23255814,0,NA,1,20.32896244,0.967402932744591
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0.3125,0,0,0,0.046875,0.015625,0,0.390625,0,0,0,0,0,0,0.109375,0.125,NA,1.05,19.60133509,1.44108181249069
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.057471264,0,0,0.689655172,0,0,0,0,0,0,0,0,0,0,0.08045977,0.172413793,NA,1,19.98974299,0.926253090831171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,26.54814996,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.2,19.18886709,0
0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0.172839506,0,0.37037037,0,0,0,0.12345679,0,0,0.185185185,0.12345679,0,0,0.024691358,0,NA,2.91,24.67848663,1.59146800279574
1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0.074074074,0,0.092592593,0,0.12962963,0,0.037037037,0.018518519,0.018518519,0,0,0.074074074,0,0,0,0,0,0.555555556,NA,3.5,18.53102948,1.46711124699729
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.126315789,0.010526316,0.031578947,0.021052632,0.042105263,0.157894737,0.010526316,0,0.031578947,0.010526316,0.073684211,0.021052632,0.042105263,0.073684211,0.157894737,0.010526316,0.021052632,0.157894737,NA,9.5,21.45168042,2.44056328753226
0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0.068965517,0,0.229885057,0,0,0,0.103448276,0.057471264,0,0.402298851,0.022988506,0,0,0.114942529,0,NA,5,25.92116188,1.62295707840167
1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0.281690141,0,0.14084507,0,0.14084507,0,0.028169014,0,0.014084507,0,0,0,0,0,0.281690141,0.056338028,0,0.056338028,NA,2.65,17.41621106,1.7506004105512
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0.023809524,0,0.297619048,0,0,0,0,0,0.476190476,0,0,0,0.023809524,0,0,0.178571429,0,NA,4,23.68819949,1.19962137720918
0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0.142857143,0.214285714,0.071428571,0,0.028571429,0,0,0,0.214285714,0,0,0.114285714,0.214285714,0,NA,3,21.6688721,1.80625058206805
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0.3,22.51774405,0
0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.229885057,0,0.229885057,0,0,0,0.459770115,0,0,0.011494253,0.034482759,0,0,0.034482759,0,NA,2.2,24.67848663,1.31675705332092
0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0.25974026,0,0,0,0,0.025974026,0.038961039,0,0,0.194805195,0,0.038961039,0,0,0.051948052,0,0.38961039,NA,4.05,22.13740542,1.53738379230712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0.5,26.31635653,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0.342465753,0,0,0,0,0,0,0.109589041,0,0,0,0.479452055,0,0,0,0.068493151,0,0,NA,2.71,22.04011337,1.14536629532031
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,21.41923304,0
0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0.163043478,0,0.217391304,0,0,0,0,0,0.326086957,0.054347826,0,0.163043478,0,0,0,0.076086957,0,NA,4.26,22.97760119,1.64286864709126
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.5,17.40814705,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,20.18788567,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0.05,14.01853232,0
1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.024691358,0,0.024691358,0,0.024691358,0,0.012345679,0.012345679,0.049382716,0,0,0.049382716,0,0,0,0,0,0.802469136,NA,1,18.53102948,0.856370011869029
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.093896714,0.014084507,0.093896714,0.112676056,0.093896714,0.14084507,0.009389671,0.009389671,0.009389671,0.112676056,0.009389671,0.009389671,0.009389671,0.009389671,0.028169014,0.009389671,0.093896714,0.14084507,NA,8.3,21.45168042,2.44385667970496
0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0.013793103,0,0,0.027586207,0,0,0,0.013793103,0.827586207,0.013793103,0.013793103,0.055172414,0,0,0.034482759,0,0,NA,2.05,22.31607622,0.767960731441424
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0.892857143,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.9,19.96523589,0.397254013984443
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.934065934,0.010989011,0,0,0,0,0,0.054945055,0,NA,2,23.01370794,0.272699656569172
0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.425531915,0,0.074468085,0,0,0,0.425531915,0.010638298,0,0.010638298,0.010638298,0,0,0.042553191,0,NA,4,25.92116188,1.19992345453032
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.120481928,0,0,0,0.843373494,0,0,0,0,0,0,0.036144578,0,0,0,0,0,NA,1.9,22.90582536,0.518643562319549
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0.011904762,0,0,0,0.011904762,0.023809524,0,0.773809524,0,0,0,0,0,0,0.035714286,0.142857143,NA,1.2,19.60133509,0.789909853652521
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.180722892,0,0.096385542,0,0.602409639,0,0,0,0,0,0,0,0.120481928,0,0,0,0,NA,2.77,26.18366465,1.09494558919635
0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0.027777778,0.208333333,0.069444444,0.208333333,0,0,0.069444444,0,0,0,0,0.055555556,0.277777778,0,0.083333333,0,NA,2.38,21.99629718,1.84704724051913
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.317647059,0.176470588,0.270588235,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.3,20.92078116,1.36454112892724
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.4,0,0,0,0.066666667,0,0,0,0,0.4,0,0,0,0.133333333,0,0,NA,1.5,19.30859596,1.18222300187616
1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0.283018868,0,0.216981132,0.009433962,0,0,0.018867925,0,0,0,0,0,0,0.018867925,0.216981132,0,0.235849057,0,NA,1.5,21.37988027,1.55482456978578
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0.2,0,0,0,0,0,0.066666667,0,0,0,0.333333333,0.4,0,0,0,0,0,NA,2.6,25.38088838,1.23514465206915
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.022988506,0,0.022988506,0.034482759,0,0,0,0,0,0,0,0,0,0.91954023,NA,0.5,18.22913273,0.366706324216687
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0.9,22.50229612,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.2,39.00905368,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.9,21.56190935,0
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.170454545,0,0,0,0.738636364,0.011363636,0,0,0,0,0,0.079545455,0,NA,3,23.63660494,0.777594806452848
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.06097561,0.012195122,0.024390244,0.182926829,0.012195122,0.12195122,0.012195122,0,0.012195122,0.182926829,0.048780488,0.048780488,0.024390244,0.048780488,0.036585366,0.036585366,0.012195122,0.12195122,NA,9.68,21.45168042,2.43915592871102
