"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","diversity.desirability"
1,1,0,1,1,1,"wet",2.85764127482762e-54,2701.35187468275,0,0,4176.34574853526,1.89490452025101e-253,0.669970939044619
0,0,1,1,1,1,"wet",0,0,0,8.47752632266989e-263,8541.21768214909,177.445900039294,0.0994075169529087
1,0,1,1,1,1,"wet",2953.38916187329,0,0,2.0982776182594e-315,8391.21142810233,9.23414324455433e-69,0.573406340878532
0,1,1,1,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,1.94561659082726e-253,0.669970939044619
1,1,1,1,1,1,"wet",2.71534859344384e-54,2701.35187468275,0,0,4176.34574853526,1.92608370749255e-253,0.669970939044619
0,0,0,0,0,0,"dry",0,0,0,0,0,0,NA
1,0,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,0
0,1,0,0,0,0,"dry",0,2755.42687427732,0,0,0,0,0
1,1,0,0,0,0,"dry",5976.62903988232,7.75705977334672e-81,0,0,0,0,2.50697464960285e-82
0,0,1,0,0,0,"dry",0,0,1502.20700313119,0,0,0,0
1,0,1,0,0,0,"dry",5976.62903988232,0,0,0,0,0,0
0,1,1,0,0,0,"dry",0,2755.42687427732,0,0,0,0,0
1,1,1,0,0,0,"dry",5976.62903988232,8.98499459826724e-81,0,0,0,0,2.90161701767878e-82
0,0,0,1,0,0,"dry",0,0,0,855.75979903007,0,0,0
1,0,0,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,0.195958855391789
0,1,0,1,0,0,"dry",0,2309.58830101005,0,486.446193048757,0,0,0.462136827228051
1,1,0,1,0,0,"dry",5487.54449852134,6.92032003298423e-79,0,283.560254190435,0,0,0.195958855391789
0,0,1,1,0,0,"dry",0,0,6.17323565612646e-195,855.75979903007,0,0,3.27457896262743e-195
1,0,1,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,0.195958855391789
0,1,1,1,0,0,"dry",0,2309.58830101005,0,486.446193048757,0,0,0.462136827228051
1,1,1,1,0,0,"dry",5487.54449852134,7.48420632496849e-79,0,283.560254190435,0,0,0.195958855391789
0,0,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,0
1,0,0,0,1,0,"dry",7.15843784363527e-26,0,0,0,5072.11153581888,0,9.37554553158244e-28
0,1,0,0,1,0,"dry",0,1.32377676420905e-135,0,0,5072.11153581888,0,8.32823129594268e-137
1,1,0,0,1,0,"dry",7.2560861275353e-26,1.61980182388088e-136,0,0,5072.11153581888,0,9.50149912037723e-28
0,0,1,0,1,0,"dry",0,0,0,0,5072.11153581888,0,0
1,0,1,0,1,0,"dry",7.03106856378553e-26,0,0,0,5072.11153581888,0,9.21121619845925e-28
0,1,1,0,1,0,"dry",0,1.45790741971797e-135,0,0,5072.11153581888,0,9.16930874312321e-137
1,1,1,0,1,0,"dry",7.15050803848984e-26,2.04726024556235e-136,0,0,5072.11153581888,0,9.36531596593962e-28
0,0,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,0.262721656304869
1,0,0,1,1,0,"dry",1.16144202618448e-46,0,0,387.177162777096,4877.09164380973,0,0.262721656304869
0,1,0,1,1,0,"dry",0,3.15519332668566e-157,0,387.177162777096,4877.09164380973,0,0.262721656304869
1,1,0,1,1,0,"dry",1.21115679487493e-46,8.73153580101482e-158,0,387.177162777096,4877.09164380973,0,0.262721656304869
0,0,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,0.262721656304869
1,0,1,1,1,0,"dry",1.13648142197959e-46,0,0,387.177162777096,4877.09164380973,0,0.262721656304869
0,1,1,1,1,0,"dry",0,3.38568449227949e-157,0,387.177162777096,4877.09164380973,0,0.262721656304869
1,1,1,1,1,0,"dry",1.18901706476111e-46,9.96447752147667e-158,0,387.177162777096,4877.09164380973,0,0.262721656304869
0,0,0,0,0,1,"dry",0,0,0,0,0,3936.44733681903,0
1,0,0,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,0.663480731550367
