"TRFL.action","SCIN.action","ANVI.action","PAAN.action","SEPA.action","SOPI.action","NEWSPS.action","weeded.initial","fertilized.initial","ANVI.outcome","PAAN.outcome","SCIN.outcome","SEPA.outcome","SOPI.outcome","TRFL.outcome","NEWSPS.outcome","diversity.desirability"
1,1,1,1,0,1,0,"Unsprayed","Ambient",0,1,6,0,2,3,127,0.397463515700953
1,1,1,1,0,1,0,"Sprayed","Fertilized",0,1,55,3,5,0,118.5,0.836484214424627
1,1,1,1,0,1,0,"Unsprayed","Fertilized",0,0,25,0,5,3,67,0.869876910497346
0,0,0,0,0,1,0,"Sprayed","Ambient",3,0,0,0,35,0,104,0.654773025708046
0,0,0,0,0,1,0,"Unsprayed","Ambient",15,0,0,4,6,8,79,0.979763157413716
0,0,0,0,0,1,0,"Sprayed","Fertilized",0,1,0,4,50,0,104,0.76599237060646
0,0,0,0,0,1,0,"Unsprayed","Fertilized",0,0,8,23,2,0,91.5,0.781067084381196
1,1,1,1,1,0,0,"Sprayed","Ambient",10,6,40,0,0,10,111,1.0681537484751
1,1,1,1,1,0,0,"Unsprayed","Ambient",8,0,20,0,0,6,77,0.909766668856294
1,1,1,1,1,0,0,"Sprayed","Fertilized",0,3,15,0,0,0,120,0.445981228516748
1,1,1,1,1,0,0,"Unsprayed","Fertilized",0,0,4,0,0,4,121,0.275463482608457
1,0,0,0,0,0,0,"Sprayed","Ambient",15,7,0,3,0,35,85.5,1.11541118474793
1,0,0,0,0,0,0,"Unsprayed","Ambient",2,1,0,0,0,0,123,0.127671033364754
1,0,0,0,0,0,0,"Sprayed","Fertilized",0,6,0,2,0,1,94,0.370587622114407
1,0,0,0,0,0,0,"Unsprayed","Fertilized",0,0,0,0,0,8,206,0.159536654722354
0,1,1,1,1,1,0,"Sprayed","Ambient",20,12,35,0,20,0,89,1.3433590530046
0,1,1,1,1,1,0,"Unsprayed","Ambient",1,0,25,0,0,3,113,0.603978071670248
0,1,1,1,1,1,0,"Sprayed","Fertilized",0,4,40,23,0,3,59,1.2234769886109
0,1,1,1,1,1,0,"Unsprayed","Fertilized",5,0,25,15,0,0,114,0.860939036702111
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",15,3,0,0,0,4,105,0.606961857375465
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",25,2,0,0,0.1,2,90,0.682590712596609
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0.5,1,0,0,2,4,113,0.303851232351341
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,124,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,5,18,0,23,15,102,1.13940524287915
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",40,2,30,4,6,0,78.5,1.2790642211914
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",8,1,22,25,3,2,82,1.24855462024718
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0.5,15,0,0,0,136,0.344709427679746
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",10,2,0,0,3,0,133,0.415290542611697
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",6,0,0,4,0,17,92,0.741603239352577
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,121,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,8,1,0,116,0.283897781288085
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,3,2,0,1,0,144,0.208400318322467
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",2,1,0,0,1,2,126,0.245346551388446
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",4,15,0,2,0,3,125.5,0.610624590898282
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",50,0,0,0,0,4,160,0.631517425520453
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,1,30,0,4,5,154,0.673430379536454
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",20,3,15,3,12,4,52,1.49909281041454
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,1,15,0,5,5,120,0.660222092429435
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",10,0,15,0,0,0,92,0.662591430225232
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",20,3,40,2,0,4,52,1.29858554003083
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,1,5,0,2,0,122,0.286580209065216
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",2,1,50,2,0,0,134,0.719608008778853
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,18,0,0,0,119,0.389014595007665
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",15,0,0,0,15,3,178,0.579844792949707
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",15,3,0,0,5,12,83,0.969443694895482
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,144,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,30,103,0.53386035199982
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",17,12,0,6,0,0,109,0.802514809126301
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",25,0,0,0,4,12,91,0.895497619884296
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,2,0,0,161,0.066189482256956
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",10,0,3,0,0,0,106,0.403945074860908
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",18,15,20,0,10,2,84,1.31828961786732
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",15,0,16,0,3,15,98.5,1.05471405747178
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",1,3,30,2,5,0,100,0.868743856066335
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",4,0,30,0,5,0,130.5,0.700153843935234
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",70,8,2,0,50,10,49,1.40712961057931
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",12,1,5,3,14,5,89,1.09512608414016
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,2,0,0,30,0,127,0.549193662652775
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,5,112.5,0.175975125097627
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",20,40,30,0,0,7,90,1.33747232563206
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,0,15,0,0,0,102,0.382960430767595
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",2,2,25,0,0,0,123,0.582149204696591
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,22,0,0,10,104,0.691732544452772
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",3,0,0,0,0.5,70,121,0.742747915056521
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",4,0,5,0,0,6,147,0.408975877957738
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",3,2,4,1,0,0,190,0.262507954637556
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,8,138,0.21239743756359
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",60,22,12,6,25,0,45,1.57106460186554
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",15,2,15,0,12,5,94,1.13372869118863
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0.5,25,0,0,0,139,0.446271064207912
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",4,0,18,0,0,12,106,0.786533187895407
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",1,5,0,0,0,0,100,0.243022035989618
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,1,0,0,0,0,131,0.0445379124397735
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",3,3,0,0,1,0,110,0.286579798309086
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,1,0,0,0,141,0.041917588986319
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,18,35,0,60,0,110,1.19561397879307
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,1,23,10,0,0,122,0.682979178058715
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,1,0,5,0,121.5,0.210965207814059
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,3,0,0,0,127,0.109783705484464
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",5,15,0,4,0,0,139,0.553228748485601
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",20,0,3,1,1,0,98,0.645214475317131
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,115,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,117,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",6,8,2,3,0,0,112.5,0.594592723778012
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",40,10,0,2,0,0,50.5,1.01984351138018
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",15,25,0,0,0,0,118,0.733269499323254
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",4,2,0,0,0,0,112,0.233368138104224
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",4,0,30,0,20,0,114,0.913116553912803
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",1,0,25,0,0,0,95,0.555375666888011
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,4,0,0,0,139,0.12762047536728
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,3,0,0,0,147,0.098039113279732
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,0,40,0,0,0,136,0.535959889216217
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",40,0,60,0,0,0,39,1.07767712667789
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,30,0,0,0,143,0.461252845497597
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",3,0,7,0,0,0,110,0.337741341560735
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",4,20,0,0,20,0,73,1.01364395539201
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,1,0,0,0,0,131,0.0445379124397735
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,6,0,0,2,0,138,0.243210322200237
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,134,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,0,4,0,0,0,135,0.13046477821222
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",1,0,0,0,0,0,130,0.0448196242757644
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,115,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,136,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",12,4,15,0,45,0,75,1.23518559301786
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",2,3,25,0,0,0,113,0.631733788558343
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",4,3,8,0,5,0,133,0.560240730153309
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,16,0,3,0,107.5,0.488562288125121
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,1,0,3,65,0,74,0.815069621124737
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",60,6,0,0,4,0,43,0.977936376517676
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,4,0,117,0.145215935548666
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,110,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",30,8,4,0,0,0,108,0.811389935714932
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",2,4,18,0,3,0,103.5,0.714670834205307
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,30,45,4,0,0,103,1.04874296882591
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,3,0,0,0,157,0.0931336383232726
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",25,1,2,0,1,0,108,0.63145273230812
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,0,0,0,0,0,123.5,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,148,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",2,0,0,0,0,0,166,0.0645814363776275
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",1,15,30,0,20,0,90,1.15527786451107
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",15,3,18,0,18,0,81,1.17253141032534
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,11,0,12,0,130,0.527331997487443
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,10,0,0,0,110,0.286835983056161
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",2,1,0,0,0,0,87.5,0.166624007828177
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,1,1,0,1,0,89.5,0.178729109787218
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",17,0,1,0,0,0,131,0.394446465755482
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,1,1,0,0,0,88.5,0.121419178294513
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",3,0,40,2,7,1,141,0.816137411752036
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",1,10,8,0,0,0,122,0.510802793067271
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0.5,15,0,0,0,117,0.377537137519932
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",5,2,0,0,2,0,98,0.372393402741099
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",45,10,0,0,0,0,68,0.899564949505913
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",5,0,3,0,0,0,133,0.255430383415983
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,169,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,2,0,0,0,0,131,0.0780397770903948
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",10,50,10,1,0,0,129,0.955474105078317
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",15,8,2,0,0,0,140,0.557627177680009
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,45,2,0,0,0,121,0.641959441200938
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",8,0,0,0,0,0,157,0.194029572245289
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",15,7,30,5,11,0,58,1.45368049675759
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",20,4,17,0,1,0,64.5,1.07777543867318
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",2,0,20,0,1,0,79,0.639803007626483
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,15,0,3,0,120,0.445981228516748
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0.5,0,85,0,0,0,24,0.553896465788541
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",12,0,30,0,0,0,80,0.849783897018247
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,90,0,0,0,14,0.395067120830435
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,83,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",10,6,0,4,0,0,89,0.66556602813787
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",3,3,0,0,0,0,95,0.266506868979279
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",2,0,0,0,4,0,98,0.257292007647954
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,113,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",2,7,0,0,0,0,102,0.324350990866363
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",17,0.5,3,0,2,2,93,0.720325723284872
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,126,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",3,0,1,0,0,0,106,0.176658721775294
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",2,13,45,0,0,0,98,0.914764267473167
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",10,0,6,0,2,0,98,0.576956440967186
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,25,0,15,0,112,0.750429716745693
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",19,0,1,1,0,0,111,0.498694400239163
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,4,2,0,20,0,114,0.607551419797506
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",17,1,0,1,10,0,100.5,0.736180268069641
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",4,0,4,0,1,0,115,0.330301326486223
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",4,0,0,1,0,0,96,0.221827409659162
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",3,8,20,2,1,0,112,0.807550576388519
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",15,1,5,0,1,0,129,0.543215315348968
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,7,15,2,0,0,181,0.461759339723019
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",5,0,8,0,0,0,101,0.430848500178913
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",0,0,0,0,0,0,127,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",4,0,0,0,0,0,116,0.146144746008564
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",5,0,0,0,0,0,162,0.134533956908871
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,3,2,0,0,107,0.212473723843771
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",45,4,22,0,15,0,53,1.3668901353406
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",22,9,35,0,0,0,74,1.15081417818683
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",1,0,45,0,1,0,87,0.719975483812007
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,0,0,0,0,87,0
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",4,0,0,0,0,0,83,0.186494924498294
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",3,2,2,0,0,0,95,0.32412251632059
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,0,0,0,0,112.5,0
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",8,0,0,0,0,0,89.5,0.283750949326149
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",11,10,45,0,15,2,67,1.38114220178136
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",8,7,50,0,0,0,100,0.946096551191233
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",2,4,55,0,13,0,97,1.02221265851896
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",2,0,1,0,0,0,129,0.122937570133525
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",10,0,0,0,0,0,101,0.302746209141995
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",12,5,1,0,0,0,89.5,0.583533393407169
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",1,0,0,0,0,0,100,0.0555460752688918
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",1,0,0,0,0,0,109,0.0517811006744465
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",90,20,0,2,0,0,35,0.971922434982457
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",50,16,1,0,0,0,66,1.00704249062034
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",70,30,0,0,0,0,45,1.04066201529655
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",3,0,7,2,0,0,118,0.396424543090507
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",1,0,23,0,6,0,83,0.748355126421576
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",8,3,35,2,15,1,89,1.20125991070364
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,25,0,25,0,110,0.837694868480228
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",5,1,40,0,1,0,82,0.852422125273326
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",3,0,60,0,0,0,52,0.793443572140949
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",15,0,45,0,0,0,92.5,0.891509745725187
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,0,60,0,0,0,103,0.657935725217937
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",5,0,20,3,0,0,99,0.701080495414662
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",45,18,6,0,15,0,87,1.26311490248719
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",4,3,1,0,0,0,110,0.313957043553379
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",5,2,0,0,2,0,73,0.455215375456414
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",12,5,0,0,1,0,71,0.662610070523602
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",20,10,0,0,0,0,94.5,0.705565308183946
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",35,5,2,0,0,0,88,0.80694748315172
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",30,0,0,0,0,0,71,0.608326529516526
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",4,0,0,0,0.1,7,102.5,0.388517777124553
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",45,0,35,0,20,0,28,1.34458209245259
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",0,4,20,0,2,0,117,0.599065136217832
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",0,1,30,0,4,0,72,0.789641362840409
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",0,0,18,0,0,0,107,0.412158721865862
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",5,3,0,0,22,0,85,0.771268500504688
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",12,1,4,0,10,0,97,0.770790653615487
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",5,0,1,0,1,0,105,0.283561136217323
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",35,7,0,0,0,0,27.1,0.943573294865984
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Ambient",4,0,55,0,0,5,114,0.833905374385296
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Ambient",3,4,30,0,0,4,112,0.81544454368081
NA,NA,NA,NA,NA,NA,NA,"Sprayed","Fertilized",7,2,6,0,0,0,108,0.491628300500132
NA,NA,NA,NA,NA,NA,NA,"Unsprayed","Fertilized",15,10,20,0,0,0,85,1.01225286415381
