"plotid","plot.num","blk","enemy","resources","ANVI.outcome","PAAN.outcome","SCIN.outcome","SEPA.outcome","SOPI.outcome","TRFL.outcome","NEWSPS.outcome"
"4SEPAPRE","4_2",4,"Sprayed","Fertilized",0,0,25,0,15,0,112
"4SEPAPRO","4_24",4,"Unsprayed","Fertilized",19,0,1,1,0,0,111
"4SOPIMOE","4_30",4,"Sprayed","Ambient",0,4,2,0,20,0,114
"4SOPIMOO","4_22",4,"Unsprayed","Ambient",17,1,0,1,10,0,100.5
"4SOPIMRE","4_51",4,"Sprayed","Fertilized",4,0,4,0,1,0,115
"4SOPIMRO","4_18",4,"Unsprayed","Fertilized",4,0,0,1,0,0,96
"4SOPIPOE","4_60",4,"Sprayed","Ambient",3,8,20,2,1,0,112
"4SOPIPOO","4_8",4,"Unsprayed","Ambient",15,1,5,0,1,0,129
"4SOPIPRE","4_26",4,"Sprayed","Fertilized",0,7,15,2,0,0,181
"4SOPIPRO","4_45",4,"Unsprayed","Fertilized",5,0,8,0,0,0,101
"4TRFLMOE","4_7",4,"Sprayed","Ambient",0,0,0,0,0,0,127
"4TRFLMOO","4_17",4,"Unsprayed","Ambient",4,0,0,0,0,0,116
"4TRFLMRE","4_36",4,"Sprayed","Fertilized",5,0,0,0,0,0,162
"4TRFLMRO","4_43",4,"Unsprayed","Fertilized",0,0,3,2,0,0,107
"4TRFLPOE","4_64",4,"Sprayed","Ambient",45,4,22,0,15,0,53
"4TRFLPOO","4_29",4,"Unsprayed","Ambient",22,9,35,0,0,0,74
"4TRFLPRE","4_57",4,"Sprayed","Fertilized",1,0,45,0,1,0,87
"4TRFLPRO","4_14",4,"Unsprayed","Fertilized",0,0,0,0,0,0,87
"5ANVIMOE","5_55",5,"Sprayed","Ambient",4,0,0,0,0,0,83
"5ANVIMOO","5_53",5,"Unsprayed","Ambient",3,2,2,0,0,0,95
"5ANVIMRE","5_47",5,"Sprayed","Fertilized",0,0,0,0,0,0,112.5
"5ANVIMRO","5_23",5,"Unsprayed","Fertilized",8,0,0,0,0,0,89.5
"5ANVIPOE","5_12",5,"Sprayed","Ambient",11,10,45,0,15,2,67
"5ANVIPOO","5_59",5,"Unsprayed","Ambient",8,7,50,0,0,0,100
"5ANVIPRE","5_24",5,"Sprayed","Fertilized",2,4,55,0,13,0,97
"5ANVIPRO","5_11",5,"Unsprayed","Fertilized",2,0,1,0,0,0,129
"5BLANKOE","5_37",5,"Sprayed","Ambient",10,0,0,0,0,0,101
"5BLANKOO","5_30",5,"Unsprayed","Ambient",12,5,1,0,0,0,89.5
"5BLANKRE","5_57",5,"Sprayed","Fertilized",1,0,0,0,0,0,100
"5BLANKRO","5_40",5,"Unsprayed","Fertilized",1,0,0,0,0,0,109
"5PAANMOE","5_9",5,"Sprayed","Ambient",90,20,0,2,0,0,35
"5PAANMOO","5_25",5,"Unsprayed","Ambient",50,16,1,0,0,0,66
"5PAANMRE","5_29",5,"Sprayed","Fertilized",70,30,0,0,0,0,45
"5PAANMRO","5_41",5,"Unsprayed","Fertilized",3,0,7,2,0,0,118
"5PAANPOE","5_51",5,"Sprayed","Ambient",1,0,23,0,6,0,83
"5PAANPOO","5_46",5,"Unsprayed","Ambient",8,3,35,2,15,1,89
"5PAANPRE","5_31",5,"Sprayed","Fertilized",0,0,25,0,25,0,110
"5PAANPRO","5_52",5,"Unsprayed","Fertilized",5,1,40,0,1,0,82
"5SCINMOE","5_49",5,"Sprayed","Ambient",3,0,60,0,0,0,52
"5SCINMOO","5_13",5,"Unsprayed","Ambient",15,0,45,0,0,0,92.5
"5SCINMRE","5_17",5,"Sprayed","Fertilized",0,0,60,0,0,0,103
"5SCINMRO","5_63",5,"Unsprayed","Fertilized",5,0,20,3,0,0,99
