exp,ref,data.collection.year,site,growing.seasons,plant.year,rep.5,rep.10,n.s,water,treatment,Brca,Elgl,Hobr,Napu,Avsp,Brho,Homu,Vusp,total.n,total.i,total.seeded,bare,unseeded forbs,unseeded grasses,Total (data check),problem row,Comments
STG,372,2013,McLaughlin,2,2011,3,3,N,Fall 2011 1.25cm,NE,0,2,0,0,10,70,6,0,2,86,88,,,,,,
STG,373,2013,McLaughlin,2,2011,3,3,N,Fall 2011 1.25cm,NtE,1,5,0,0,10,60,5,0,6,75,81,,,,,,
STG,374,2013,McLaughlin,2,2011,3,3,N,Fall 2011 1.25cm,tE,0,0,0,0,10,75,0,0,0,85,85,,,,,,
STG,375,2013,McLaughlin,2,2011,3,3,N,Fall 2011 1.25cm,NttE,2,8,0,0,10,60,0,1,10,71,81,,,,,,
STG,376,2013,McLaughlin,2,2011,3,8,S,No,N,1,15,0,0,15,60,0,0,16,75,91,,,,,,
STG,377,2013,McLaughlin,2,2011,3,8,S,No,NE,0,2,0,0,18,75,0,0,2,93,95,,,,,,
STG,378,2013,McLaughlin,2,2011,3,8,S,No,NtE,2,10,0,0,10,70,0,0,12,80,92,,,,,,
STG,379,2013,McLaughlin,2,2011,3,8,S,No,tE,0,0,0,0,10,80,0,2,0,92,92,,,,,,
STG,380,2013,McLaughlin,2,2011,3,8,S,No,NttE,0,1,0,0,12,80,0,0,1,92,93,,,,,,
STG,381,2013,McLaughlin,2,2011,4,4,N,Fall 2011 1.25cm,N,1,8,4,0,3,45,0,0,13,48,61,,,,,,
STG,382,2013,McLaughlin,2,2011,4,4,N,Fall 2011 1.25cm,NE,0,0,0,0,5,65,0,0,0,70,70,,,,,,
STG,383,2013,McLaughlin,2,2011,4,4,N,Fall 2011 1.25cm,NtE,0,18,0,0,0,25,0,0,18,25,43,,,,,,
STG,384,2013,McLaughlin,2,2011,4,4,N,Fall 2011 1.25cm,tE,0,0,0,0,18,35,0,15,0,68,68,,,,,,
STG,385,2013,McLaughlin,2,2011,4,4,N,Fall 2011 1.25cm,NttE,0,35,6,0,3,35,0,0,41,38,79,,,,,,
STG,386,2013,McLaughlin,2,2011,4,9,S,No,N,4,10,0,0,2,30,0,0,14,32,46,,,,,,
STG,387,2013,McLaughlin,2,2011,4,9,S,No,NE,1,8,0,0,20,45,0,0,9,65,74,,,,,,
STG,388,2013,McLaughlin,2,2011,4,9,S,No,NtE,5,5,0,0,5,75,0,3,10,83,93,,,,,,
STG,389,2013,McLaughlin,2,2011,4,9,S,No,tE,0,0,0,0,3,40,0,0,0,43,43,,,,,,
STG,390,2013,McLaughlin,2,2011,4,9,S,No,NttE,15,3,0,0,2,35,0,0,18,37,55,,,,,,
STG,391,2013,McLaughlin,2,2011,5,5,N,Fall 2011 1.25cm,N,15,20,2,0,10,15,0,0,37,25,62,,,,,,
STG,392,2013,McLaughlin,2,2011,5,5,N,Fall 2011 1.25cm,NE,0,6,0,0,5,70,1,0,6,76,82,,,,,,
STG,393,2013,McLaughlin,2,2011,5,5,N,Fall 2011 1.25cm,NtE,1,10,0,0,7,30,0,0,11,37,48,,,,,,
STG,394,2013,McLaughlin,2,2011,5,5,N,Fall 2011 1.25cm,tE,0,0,0,0,4,25,0,10,0,39,39,,,,,,
STG,395,2013,McLaughlin,2,2011,5,5,N,Fall 2011 1.25cm,NttE,5,15,3,0,0,30,0,0,23,30,53,,,,,,
STG,396,2013,McLaughlin,2,2011,5,10,S,No,N,0,25,2,0,5,30,0,0,27,35,62,,,,,,
STG,397,2013,McLaughlin,2,2011,5,10,S,No,NE,0,1,0,0,10,40,0,4,1,54,55,,,,,,
STG,398,2013,McLaughlin,2,2011,5,10,S,No,NtE,4,8,0,0,5,40,0,4,12,49,61,,,,,,
STG,399,2013,McLaughlin,2,2011,5,10,S,No,tE,0,0,0,0,10,50,0,5,0,65,65,,,,,,
STG,400,2013,McLaughlin,2,2011,5,10,S,No,NttE,10,20,0,0,10,5,0,0,30,15,45,,,,,,
STG,401,2013,McLaughlin,1,2012,1,1,N,Winter 2013 1.45cm,N,2,12,0,0,12,10,0,0,14,22,36,,,,,,
STG,402,2013,McLaughlin,1,2012,1,1,N,Winter 2013 1.45cm,NE,1,0,0,0,8,40,35,2,1,85,86,,,,,,
STG,403,2013,McLaughlin,1,2012,1,1,N,Winter 2013 1.45cm,NtE,5,5,0,0,10,35,8,1,10,54,64,,,,,,
STG,404,2013,McLaughlin,1,2012,1,1,N,Winter 2013 1.45cm,tE,0,0,0,0,8,20,10,0,0,38,38,,,,,,
STG,405,2013,McLaughlin,1,2012,1,1,N,Winter 2013 1.45cm,NttE,12,0,0,0,10,12,0,0,12,22,34,,,,,,
STG,406,2013,McLaughlin,1,2012,1,5,S,No,N,15,8,2,0,5,5,0,0,25,10,35,,,,,,
STG,407,2013,McLaughlin,1,2012,1,5,S,No,NE,0,0,0,0,8,40,40,2,0,90,90,,,,,,
STG,408,2013,McLaughlin,1,2012,1,5,S,No,NtE,2,7,0,0,8,18,20,0,9,46,55,,,,,,
STG,409,2013,McLaughlin,1,2012,1,5,S,No,tE,0,0,0,0,18,25,20,0,0,63,63,,,,,,
STG,410,2013,McLaughlin,1,2012,1,5,S,No,NttE,10,15,0,0,8,10,0,0,25,18,43,,,,,,
STG,411,2013,McLaughlin,1,2012,2,2,N,Winter 2013 1.45cm,N,10,1,0,0,10,15,0,0,11,25,36,,,,,,
STG,412,2013,McLaughlin,1,2012,2,2,N,Winter 2013 1.45cm,NE,0,0,0,0,12,30,18,0,0,60,60,,,,,,
STG,413,2013,McLaughlin,1,2012,2,2,N,Winter 2013 1.45cm,NtE,8,0,0,0,1,15,15,1,8,32,40,,,,,,
STG,414,2013,McLaughlin,1,2012,2,2,N,Winter 2013 1.45cm,tE,0,0,0,0,3,20,15,1,0,39,39,,,,,,
STG,415,2013,McLaughlin,1,2012,2,2,N,Winter 2013 1.45cm,NttE,16,7,0,0,2,8,0,0,23,10,33,,,,,,
STG,416,2013,McLaughlin,1,2012,2,7,S,No,N,2,0,0,0,3,25,0,0,2,28,30,,,,,,
STG,417,2013,McLaughlin,1,2012,2,7,S,No,NE,0,0,0,0,15,40,20,8,0,83,83,,,,,,
STG,418,2013,McLaughlin,1,2012,2,7,S,No,NtE,3,1,1,0,2,20,15,0,5,37,42,,,,,,
STG,419,2013,McLaughlin,1,2012,2,7,S,No,tE,0,0,0,0,4,30,12,1,0,47,47,,,,,,
STG,420,2013,McLaughlin,1,2012,2,7,S,No,NttE,14,2,1,0,10,25,0,0,17,35,52,,,,,,
STG,421,2013,McLaughlin,1,2012,3,3,N,Winter 2013 1.45cm,N,15,1,0,0,0,18,0,0,16,18,34,,,,,,
STG,422,2013,McLaughlin,1,2012,3,3,N,Winter 2013 1.45cm,NE,0,0,0,0,25,40,18,10,0,93,93,,,,,,
STG,423,2013,McLaughlin,1,2012,3,3,N,Winter 2013 1.45cm,NtE,5,1,0,0,10,35,5,0,6,50,56,,,,,,
STG,424,2013,McLaughlin,1,2012,3,3,N,Winter 2013 1.45cm,tE,0,0,0,0,10,35,6,4,0,55,55,,,,,,
STG,425,2013,McLaughlin,1,2012,3,3,N,Winter 2013 1.45cm,NttE,18,1,1,0,0,6,0,0,20,6,26,,,,,,
STG,426,2013,McLaughlin,1,2012,3,8,S,No,N,15,2,0,0,0,35,0,0,17,35,52,,,,,,
STG,427,2013,McLaughlin,1,2012,3,8,S,No,NE,0,0,0,0,25,40,8,4,0,77,77,,,,,,
STG,428,2013,McLaughlin,1,2012,3,8,S,No,NtE,6,0,0,0,12,20,0,1,6,33,39,,,,,,
STG,429,2013,McLaughlin,1,2012,3,8,S,No,tE,0,0,0,0,1,50,3,0,0,54,54,,,,,,
STG,430,2013,McLaughlin,1,2012,3,8,S,No,NttE,10,1,0,0,0,30,0,0,11,30,41,,,,,,
STG,431,2013,McLaughlin,1,2012,4,4,N,Winter 2013 1.45cm,N,20,2,0,0,0,30,0,0,22,30,52,,,,,,
STG,432,2013,McLaughlin,1,2012,4,4,N,Winter 2013 1.45cm,NE,0,0,0,0,15,40,25,8,0,88,88,,,,,,
STG,433,2013,McLaughlin,1,2012,4,4,N,Winter 2013 1.45cm,NtE,5,1,0,0,8,25,25,0,6,58,64,,,,,,
STG,434,2013,McLaughlin,1,2012,4,4,N,Winter 2013 1.45cm,tE,0,0,0,0,2,30,15,0,0,47,47,,,,,,
STG,435,2013,McLaughlin,1,2012,4,4,N,Winter 2013 1.45cm,NttE,20,1,0,0,5,15,0,0,21,20,41,,,,,,
STG,436,2013,McLaughlin,1,2012,4,9,S,No,N,18,4,0,0,0,5,0,0,22,5,27,,,,,,
STG,437,2013,McLaughlin,1,2012,4,9,S,No,NE,0,0,0,0,10,40,30,8,0,88,88,,,,,,
STG,438,2013,McLaughlin,1,2012,4,9,S,No,NtE,3,2,0,0,2,10,15,0,5,27,32,,,,,,
STG,439,2013,McLaughlin,1,2012,4,9,S,No,tE,0,0,0,0,0,25,15,0,0,40,40,,,,,,
STG,440,2013,McLaughlin,1,2012,4,9,S,No,NttE,6,5,0,0,10,30,0,0,11,40,51,,,,,,
STG,441,2013,McLaughlin,1,2012,5,5,N,Winter 2013 1.45cm,N,8,8,0,0,10,25,0,0,16,35,51,,,,,,
STG,442,2013,McLaughlin,1,2012,5,5,N,Winter 2013 1.45cm,NE,0,0,0,0,25,40,15,10,0,90,90,,,,,,
STG,443,2013,McLaughlin,1,2012,5,5,N,Winter 2013 1.45cm,NtE,6,1,1,0,2,35,2,1,8,40,48,,,,,,
