"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action","environment.initial","Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome","diversity.desirability"
1,0,1,1,1,0,0,1,0,0,0,0,9.15626039098176e+72,0,1.39032598681891e+73,0,0,0,0,0,0,0,0,0.671806056515167
0,1,1,1,1,0,0,1,0,0,0,0,0,7.22086218193681e-158,3.50437374395616,0.0498190927017857,0.166970844527518,0,0,-9.88131291682493e-324,0,0,0,0.253552650650728
1,1,1,1,1,0,0,1,0,0,0,0,1.70695120258936e+74,0,2.59190817413764e+74,0,0,0,0,0,0,0,0,0.671806056515164
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.14433603045501,0,0.077075960897765,0,0,0,0.235424169968751
1,0,0,0,0,1,0,1,0,0,0,0,1.15875489248297,0,0,0,0,1.16802443102601,0,4.28881824695775e-58,0,0,0,0.693139245010709
0,1,0,0,0,1,0,1,0,0,0,0,0,2.50579461972553,0,0,0,1.27377592950788,0,3.20907988615036e-318,0,0,0,0.639036371914396
1,1,0,0,0,1,0,1,0,0,0,0,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,4.94065645841247e-324,0,0,0,NA
0,0,1,0,0,1,0,1,0,0,0,0,0,0,2.99696410222578,0,0,1.21031457190054,0,9.88131291682493e-324,0,0,0,NA
1,0,1,0,0,1,0,1,0,0,0,0,7.55570539969364e+73,0,1.1641133159336e+74,0,0,5.981822053533e+72,0,0,0,0,0,0.785572859323325
0,1,1,0,0,1,0,1,0,0,0,0,0,8.9928858342027e-133,2.99696410222578,0,0,1.21031457190054,0,9.88131291682493e-324,0,0,0,NA
1,1,1,0,0,1,0,1,0,0,0,0,2.98751328439048e+74,0,4.60288459106466e+74,0,0,2.36520244033261e+73,0,0,0,0,0,0.785572859323328
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.723289691988042,0,1.49046283171865,0,4.26268881363227e-232,0,0,0,0.63183549030764
1,0,0,1,0,1,0,1,0,0,0,0,1.49259291114386,0,0,0.423467333286121,0,1.40441818286421,0,2.47032822920623e-323,0,0,0,0.986012649777133
0,1,0,1,0,1,0,1,0,0,0,0,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,0,1.97626258336499e-323,0,0,0,0.80202379335492
1,1,0,1,0,1,0,1,0,0,0,0,2.37211935556954,4.64302289696155,0,7.83127544081804e-215,0,1.52204054520382,0,4.94065645841247e-324,0,0,0,NA
0,0,1,1,0,1,0,1,0,0,0,0,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,0,9.88131291682493e-324,0,0,0,NA
1,0,1,1,0,1,0,1,0,0,0,0,9.60924630328316e+73,0,1.48050393523699e+74,0,0,7.6076022573808e+72,0,0,0,0,0,0.785572859323328
0,1,1,1,0,1,0,1,0,0,0,0,0,2.1845775436193e-119,2.9507252952791,0.219086086563431,0,1.32299825697531,0,9.88131291682493e-324,0,0,0,NA
1,1,1,1,0,1,0,1,0,0,0,0,8.91143768866182e+73,0,1.37299202770719e+74,0,0,7.0551499396578e+72,0,0,0,0,0,0.785572859323326
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1.29935430263296,1.25581082881638,0,0.231339510701727,0,0,0,0.921555334356153
1,0,0,0,1,1,0,1,0,0,0,0,1.73291253726935e-11,0,0,0,1.29935430263073,1.25581082881636,0,0.231339510699843,0,0,0,0.921555334516179
