"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","diversity.desirability"
0,1,1,0,0,0,1,0,0,0,0,0,0,0,4.77754514453916e-14,0.436699772348883,0,0,0,0.319582713105295,0,0,0,0,0,0.681108153246277
1,1,1,0,0,0,1,0,0,0,0,0,0,0.269028295678878,2.61565838071902e-13,0.399346242924122,0,0,0,0.257463001701231,0,0,0,0,0,1.07771883106809
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.599505650674255,0,0,0.372569325919157,0,0,0,0,0,0.665643333264532
1,0,0,1,0,0,1,0,0,0,0,0,0,0.269028295678878,0,0,0.541478805374551,0,0,0.305612987963595,0,0,0,0,0,1.04853265862421
0,1,0,1,0,0,1,0,0,0,0,0,0,0,3.1378530173729e-107,0,0.599505650674255,0,0,0.372569325919157,0,0,0,0,0,0.665643333264532
1,1,0,1,0,0,1,0,0,0,0,0,0,0.269028295678878,7.71740060860526e-96,0,0.541478805374551,0,0,0.305612987963595,0,0,0,0,0,1.04853265862421
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3.60711349097736e-56,0.599505650674255,0,0,0.372569325919157,0,0,0,0,0,0.665643333264532
1,0,1,1,0,0,1,0,0,0,0,0,0,0.269028295678878,0,4.92817354371885e-49,0.541478805374551,0,0,0.305612987963595,0,0,0,0,0,1.04853265862421
0,1,1,1,0,0,1,0,0,0,0,0,0,0,1.81389518648536e-108,4.51433869221151e-56,0.599505650674255,0,0,0.372569325919157,0,0,0,0,0,0.665643333264532
1,1,1,1,0,0,1,0,0,0,0,0,0,0.269028295678878,8.1015493873861e-97,6.18484493243603e-49,0.541478805374551,0,0,0.305612987963595,0,0,0,0,0,1.04853265862421
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.712265629350723,0,0.322606043145421,0,0,0,0,0,0.620482088770634
1,0,0,0,1,0,1,0,0,0,0,0,0,0.364280835389009,0,0,0,0.635807216015364,0,0.237947705248012,0,0,0,0,0,1.01916992762669
0,1,0,0,1,0,1,0,0,0,0,0,0,0,8.74757602153047e-31,0,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0,0.620482088770635
1,1,0,0,1,0,1,0,0,0,0,0,0,0.364280835389008,2.99136190337168e-29,0,0,0.635807216015361,0,0.237947705248012,0,0,0,0,0,1.01916992762669
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1.01885240778193e-28,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0,0.620482088770635
1,0,1,0,1,0,1,0,0,0,0,0,0,0.364280835389008,0,2.95714023859958e-27,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0,1.01916992762669
0,1,1,0,1,0,1,0,0,0,0,0,0,0,5.13337292551893e-31,1.36215184848612e-28,0,0.712265629350721,0,0.322606043145421,0,0,0,0,0,0.620482088770635
1,1,1,0,1,0,1,0,0,0,0,0,0,0.364280835389008,1.83699062110167e-29,3.90316377556438e-27,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0,1.01916992762669
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0,1.07911121943512
