"","Experimenta_plot","month","T_repens","T_pratense","P_trivialis","P_pratense","G_pratense","D_glomerata","A_elatius","A_sylvestris","A_pratensis","NEWSPS"
"160","B2B069","August",0,180,0,0,0,0,0,0,0,8.99
"161","B2B072","May",0,3.39,0,0,0,0,0,0,137.3,0.51
"162","B2B072","August",0,0,0,0,0,0,0,0,31.56,7.16
"163","B2B079","May",0,0,0.33,0,0,0,0,0,31.1,20
"164","B2B079","August",0,0,0.02,0,0,0,0,0,17.8,11.2
"165","B2B080","May",0,0,1.52,0,0,0,57.2,0,0,48.5
"166","B2B080","August",0,0,0,0,0,0,95.2,0,0,18.16
"167","B2B081","May",0,0,0,0,0,0,144.7,0,0,1.68
"168","B2B081","August",0,0,0,0,0,0,57,0,0,16.2
"169","B2B082","May",0,148.6,0,16,0,0,0,0,0,7.5
"170","B2B082","August",0,106,0,9.64,0,0,0,0,0,30.5
"171","B2B083","May",0,0,3.02,0,72.3,90.7,0,0,0,2.31
"172","B2B083","August",0,0,0,0,9.09,15.11,0,0,0,0
"173","B2B085","May",0,0,60.9,0,65,0,0,0,0,5.78
"174","B2B085","August",0,0,0,0,110.7,0,0,0,0,7.99
"175","B2B088","May",0,0,33.5,0,0,0,0,0,0,2.81
"176","B2B088","August",0,0,0,0,0,0,0,0,0,29.18
"177","B2B090","May",0,0,0,0,0,56.1,189.3,0,0,3.34
"178","B2B090","August",0,0,0,0,0,7.91,79.7,0,0,1.36
"179","B2B091","May",0,0,37.2,0,76.3,0,0,0,0,8
"180","B2B091","August",0,0,0,0,25.82,0,0,0,0,7.07
"181","B2B092","May",0,75.1,3.42,0,21.6,0,0,0,41.2,3.97
"182","B2B092","August",0,84.8,0,0,4,0,0,0,0.22,8.45
"183","B2B093","May",0,0,0,0,0,0,0,0,0,5
"184","B2B093","August",0,0,0,0,0,0,0,0,0,33.5
"185","B2B097","May",0,0,0,0,0,0,83.7,0,42,22.2
"186","B2B097","August",0,0,0,0,0,0,22.05,0,31.5,1.46
"187","B2B098","May",0,14.46,17.3,0,6.57,4.07,161.3,0,0.94,1.43
"188","B2B098","August",0,13.35,0,0,0,3.95,31.8,0,4.33,0.43
"189","B3B001","May",0,25.3,0,0,0,0,0,0,0,0.22
"190","B3B001","August",0,9.47,0,0,0,0,0,0,0,6.89
"191","B3B004","May",0,0,1.92,0,0,0,224,0,0,12.2
"192","B3B004","August",0,0,0,0,0,0,72.2,0,0,0.7
"193","B3B009","May",0,0,0,2.27,0,0,0,0,0,9.32
"194","B3B009","August",0,0,0,0,0,0,0,0,0,41.1
"195","B3B015","May",0,0,4.39,0,0,237,0,0,0,54.7
"196","B3B015","August",0,0,0,0,0,134.8,0,0,0,16
"197","B3B016","May",0,0,0,0,0,164.3,0,0,0,5.98
"198","B3B016","August",0,0,0,0,0,57,0,0,0,16.72
"199","B3B017","May",0,0,2.11,0,0,0,196,0,46.6,20.7
"200","B3B017","August",0,0,0.35,0,0,0,107.6,0,11.98,0
"201","B3B019","May",0,109.6,0,238.8,0,0,0,0,0,0.31
"202","B3B019","August",0,113.6,0,87.5,0,0,0,0,0,4.72
"203","B3B020","May",9.94,0,1.02,0,0,0,0,0,136.7,0.78
"204","B3B020","August",0,0,0,0,0,0,0,0,14.56,9.84
"205","B3B021","May",23.6,0,0,0,50,0,0,0,0,3.16
"206","B3B021","August",0,0,0,0,250.1,0,0,0,0,0
"207","B3B022","May",0,0,0.65,0,0,124,0,0,0,25
"208","B3B022","August",0,0,0,0,0,63.1,0,0,0,22.51
"209","B3B024","May",0,241.8,0.63,0,3.61,2.55,133.5,0,0,9.73
"210","B3B024","August",0,69.7,0,0,1.1,3.73,47,0,0,0.68
"211","B3B027","May",5.25,0,1.3,0,0,0,166,0,13.6,12.06
"212","B3B027","August",0,0,0.03,0,0,0,97.5,0,5.74,17.77
"213","B3B028","May",0,71,0,0,48.2,0,0,0,0,19
"214","B3B028","August",0,0,0,0,119.3,0,0,0,0,3.67
"215","B3B029","May",0,105.7,0,0,2.91,0,61.6,0,56.5,2.89
"216","B3B029","August",0,10.69,0,0,11.75,0,14.28,0,29.3,0.81
"217","B3B030","May",0,4.36,3.27,0,13.2,6.5,140.6,0,27.3,3.29
"218","B3B030","August",0,0,0,0,22.46,0,22.23,0,2.4,0
"219","B3B031","May",0,0,0,0,0,70.4,0,0,0,26.4
"220","B3B031","August",0,0,0,0,0,52,0,0,0,17.5
"221","B3B033","May",0,0,0,2.33,20,0,0,0,0,24.8
"222","B3B033","August",0,0,0,0,5.06,0,0,0,0,33.8
"223","B3B036","May",0,56.4,55.5,0,169.1,0,0,0,0,18.4
"224","B3B036","August",0,16.81,0,0,210,0,0,0,0,20.02
"225","B3B041","May",0,0,0,0,0,128,0,0,73.6,0
"226","B3B041","August",0,0,0,0,0,32.5,0,0,50.8,11.5
"227","B3B043","May",0,220.3,0,0,0,0,0,0,0,5
"228","B3B043","August",0,67,0,0,0,0,0,0,0,14.89
"229","B3B046","May",25.4,0,0,310.4,0,0,0,0,0,6.42
"230","B3B046","August",0,0,0,37,0,0,0,0,0,0.12
"231","B3B048","May",0,0,0,0,0,0,0,0,144.4,8.15
"232","B3B048","August",0,0,0,0,0,0,0,0,120,3.66
"233","B3B051","May",0,0,0,0,0.13,0,436.3,0,0,4.27
"234","B3B051","August",0,0,0,0,0.02,0,269.8,0,0,1.31
"235","B3B054","May",0,0,0,0,0,21.2,242,0,0,5.79
"236","B3B054","August",0,0,0,0,0,19.69,152.5,0,0,1.02
"237","B3B055","May",0,0,0,0,0,0,0,0,85,0
"238","B3B055","August",0,0,0,0,0,0,0,0,45.5,55
"239","B3B062","May",0,0,11.49,0,13.25,68,0,0,0,21.8
"240","B3B062","August",0,0,0,0,0,24.14,0,0,0,26.58
"241","B3B064","May",0,0,2.31,8.7,36.9,0,168.8,0,0,11.91
"242","B3B064","August",0,0,0,0,39.5,0,21.4,0,0,7.04
"243","B3B066","May",0,0,28.8,0,0,0,0,0,0,12.4
"244","B3B066","August",0,0,1.87,0,0,0,0,0,0,39
"245","B3B068","May",0,0,0,0,44.3,32.3,0,0,0,15
"246","B3B068","August",0,0,0,0,112.8,8.1,0,0,0,0.12
"247","B3B071","May",0,0,0,0,0,162.1,0,2.04,0,15
"248","B3B071","August",0,0,0,0,0,93.3,0,0,0,2.56
"249","B3B072","May",0,0,0,0,30.5,0,0,0,104.5,3.96
"250","B3B072","August",0,0,0,0,56,0,0,0,68,0
"251","B3B075","May",0,0,0,0,7.48,0,318.2,0,0,16.4
"252","B3B075","August",0,0,0,0,0,0,111.5,0,0,1.12
"253","B3B077","May",0,214.2,0,0,0,35,115.6,0,0,9.7
"254","B3B077","August",0,15.12,0.32,0,0,32.67,37.7,0,0,1.08
"255","B3B079","May",0,0,0,0,0,0,0,0,187.4,7.8
"256","B3B079","August",0,0,0,0,0,0,0,0,95.7,4.02
"257","B3B081","May",0,0,0,0,0,0,283.2,0,0,1.05
"258","B3B081","August",0,0,0,0,0,0,108.8,0,0,0
"259","B3B082","May",0,0,0,0,0,66.4,116,0,0,0
"260","B3B082","August",0,0,0,0,0,31.43,7.29,0,7.74,0
"261","B3B084","May",0,0,0,0,0,205.5,0,0,103.2,3.54
"262","B3B084","August",0,0,0,0,0,86.8,0,0,41,1.12
"263","B3B085","May",0,136.4,0,0,0,253,0,0,0,33.23
"264","B3B085","August",0,45,0,0,0,108,0,0,0,0.32
"265","B3B087","May",0,336.3,0,0,0,0,0,0,0,15
"266","B3B087","August",0,152.7,0,0,0,0,0,0,0,9.11
"267","B3B089","May",0,0,0,0,0,139,216.2,0,0,209.4
"268","B3B089","August",0,0,0,0,0,88,130.7,0,0,7.09
"269","B3B090","May",0,0,0,58.4,0,0,266,0,0,37.5
"270","B3B090","August",0,0,0,45.8,0,0,55.7,0,0,20.93
"271","B3B091","May",0.79,0,0.55,0,20,16.5,122.5,0,116.3,1.59
"272","B3B091","August",0,0,0,0,13.79,0.96,34.8,0,11.56,0
"273","B3B093","May",21.5,0,0,0,0,0,0,0,0,20.4
"274","B3B093","August",0,0,0,0,0,0,0,0,0,45
"275","B3B094","May",0,0,52,0,27.7,0,0,0,1.88,0
"276","B3B094","August",0,0,0,0,37.7,0,0,0,5.59,8.51
"277","B3B096","May",0,0,0,0,7.39,76,56.7,0,16.4,1.51
"278","B3B096","August",0,0,0,0,0,22.45,71.6,0,22.55,0.66
"279","B3B097","May",0,0,160.4,0,0,0,0,0,0,2.71
"280","B3B097","August",0,0,3.31,0,0,0,0,0,0,32.5
"281","B3B098","May",0,0,0,0,0,0,38.1,0,18.4,0
"282","B3B098","August",0,0,0,0,0,0,101.5,0,15.37,0.93
"283","B4B002","May",0,12.27,0,0,0,0,0,0,71.8,11.99
"284","B4B002","August",0,0,0,0,0,0,0,0,54.4,5.97
"285","B4B003","May",0,3.92,0,0,44.8,0,0,0,0,21.1
"286","B4B003","August",0,0,0,0,100.5,0,0,0,0,8.5
"287","B4B005","May",0,0,2.68,0,0,0,247.5,0,0,1.67
"288","B4B005","August",0,0,0,0,0,0,81.5,3.44,0,0.36
"289","B4B006","May",0,28,0,0,0,0,219.5,0,0,22.5
