"TREP.action","TPRA.action","PTRI.action","PPRA.action","GPRA.action","DGLO.action","AELA.action","ASYL.action","APRA.action","NEWSPS.action","month.initial","TREP.outcome","TPRA.outcome","PTRI.outcome","PPRA.outcome","GPRA.outcome","DGLO.outcome","AELA.outcome","ASYL.outcome","APRA.outcome","NEWSPS.outcome","diversity.desirability"
0,0,0,0,0,0,1,1,0,0,"August",0,0,0,0,0,0,83,0,0,1.13,0.0712331089739188
1,0,0,0,0,1,1,0,0,0,"May",0,0,0,0,0,39,110.3,0,0,11.09,0.786035788575037
1,0,0,0,0,1,1,0,0,0,"August",0,0,0,0,0,37.42,0,0,0,0.04,0.00837332133360176
0,0,1,0,0,1,0,0,0,0,"May",0,0,7.9,0,0,68,0,0,0,17.5,0.753772981550884
0,0,1,0,0,1,0,0,0,0,"August",0,0,0.39,0,0,25.82,0,0,0,29.53,0.7277574133952
1,1,1,1,1,1,1,1,1,0,"May",0,0,25.8,0,35,7.6,158.2,0,8.5,0,1.02358392931562
1,1,1,1,1,1,1,1,1,0,"August",0,0,0.58,0,31.1,9.7,60,0,4.32,1.78,1.12660557120657
1,0,0,0,1,0,0,0,0,0,"May",5.21,0,0,0,62.6,0,0,0,0,3.41,0.450214616191482
1,0,0,0,1,0,0,0,0,0,"August",0,0,0,0,0,0,0,0,0,2.99,0
1,0,0,0,0,0,0,0,1,0,"May",0,0,0,0,0,0,0,0,189.3,6.57,0.146848918290739
1,0,0,0,0,0,0,0,1,0,"August",0,0,0,0,0,0,0,0,94.1,5.4,0.210904915184409
0,0,0,1,1,0,0,0,0,0,"May",0,0,0,0,48.7,0,0,0,0,7.09,0.380805112734488
0,0,0,1,1,0,0,0,0,0,"August",0,0,0,0,0,0,0,0,0,42.5,0
0,1,0,0,1,1,0,0,0,0,"May",0,71.1,0,0,0.3,258.2,0,0,0,3.59,0.582330873950455
0,1,0,0,1,1,0,0,0,0,"August",0,1.18,0,0,0,113,0,0,0,0,0.057533283555048
