"LP.action","LB.action","AP.action","AT.action","AO.action","environment.initial","LP.outcome","LB.outcome","AP.outcome","AT.outcome","AO.outcome","diversity.desirability"
1,0,0,1,0,0,53657,0,0,16354,0,0.543580138693306
1,0,0,1,0,0,411000,0,0,81771,0,0.449391682160175
1,0,0,1,0,0,80485,0,0,16354,0,0.454103054825618
1,0,0,1,0,0,286000,0,0,16354,0,0.210383181271875
1,0,0,1,0,0,152000,0,0,147000,0,0.693007354577615
1,0,0,1,0,0,358000,0,0,98125,0,0.520671366860716
1,0,0,1,0,0,170000,0,0,164000,0,0.692985817941631
1,0,0,1,0,0,447000,0,0,1310000,0,0.567129361944653
1,0,0,1,0,0,170000,0,0,491000,0,0.570093021325734
1,0,0,1,0,0,206000,0,0,213000,0,0.693007621433447
1,0,0,1,0,0,537000,0,0,491000,0,0.692145695530315
1,0,0,1,0,0,233000,0,0,81771,0,0.572825978398629
1,0,0,1,0,0,17886,0,0,16354,0,0.692145878707159
1,0,0,1,0,0,80485,0,0,0,0,0
1,0,0,1,0,0,71543,0,0,0,0,0
1,0,0,1,0,0,17886,0,0,0,0,0
1,0,0,1,0,0,233000,0,0,32708,0,0.373051518342474
1,0,0,1,0,0,107000,0,0,32708,0,0.544203152218354
1,0,0,1,0,0,358000,0,0,245000,0,0.675484243634468
1,0,0,1,0,0,35771,0,0,16354,0,0.622065028004993
1,0,0,1,0,0,358000,0,0,1140000,0,0.549907494975437
1,0,0,1,0,0,71543,0,0,81771,0,0.690920230831037
1,0,0,1,0,0,8942.8,0,0,32708,0,0.520129224877583
1,0,0,1,0,0,224000,0,0,294000,0,0.683988432967782
1,0,0,1,0,0,358000,0,0,654000,0,0.649740157175021
1,0,0,1,0,0,447000,0,0,540000,0,0.688701420230079
1,0,0,1,0,0,447000,0,0,654000,0,0.675367506708808
1,0,0,1,0,0,447000,0,0,245000,0,0.649915502762578
1,0,0,1,0,0,447000,0,0,491000,0,0.692046581693458
1,0,0,1,0,0,143000,0,0,81771,0,0.655571574284551
1,0,0,0,1,0,179000,0,0,0,235000,0.683970671725381
1,0,0,0,1,0,313000,0,0,0,235000,0.682982961285707
1,0,0,0,1,0,358000,0,0,0,314000,0.691002080543027
1,0,0,0,1,0,358000,0,0,0,235000,0.671478707673395
1,0,0,0,1,0,224000,0,0,0,54894,0.495972782208368
1,0,0,0,1,0,313000,0,0,0,392000,0.686855618646412
1,0,0,0,1,0,313000,0,0,0,471000,0.672700141624897
1,0,0,0,1,0,224000,0,0,0,471000,0.628592596791754
1,0,0,0,1,0,179000,0,0,0,392000,0.621860837601095
1,0,0,0,1,0,179000,0,0,0,235000,0.683970671725381
1,0,0,0,1,0,224000,0,0,0,549000,0.601954650134303
1,0,0,0,1,0,179000,0,0,0,267000,0.673553366732258
1,0,0,0,1,0,537000,0,0,0,165000,0.545298104959065
1,0,0,0,1,0,134000,0,0,0,267000,0.637088796418068
1,0,0,0,1,0,35771,0,0,0,39210,0.692095014558547
1,0,0,0,1,0,537000,0,0,0,165000,0.545298104959065
1,0,0,0,1,0,537000,0,0,0,133000,0.498326352974932
1,0,0,0,1,0,241000,0,0,0,227000,0.692699674251992
1,0,0,0,1,0,107000,0,0,0,314000,0.566855914768805
1,0,0,0,1,0,179000,0,0,0,133000,0.682238786210161
1,0,0,0,1,0,241000,0,0,0,314000,0.684471792041138
1,0,0,0,1,0,26828,0,0,0,54894,0.632956505725692
1,0,0,0,1,0,241000,0,0,0,212000,0.691096648216556
1,0,0,0,1,0,250000,0,0,0,78421,0.549671811068821
1,0,0,0,1,0,537000,0,0,0,314000,0.65840933853054
1,0,0,0,1,0,116000,0,0,0,149000,0.685373366536367
1,0,0,0,1,0,537000,0,0,0,110000,0.455910719557429
1,0,0,0,1,0,107000,0,0,0,102000,0.692860987647014
1,0,0,0,1,0,268000,0,0,0,157000,0.658641869591255
1,0,0,0,1,0,197000,0,0,0,47052,0.490250426087254
1,0,0,0,1,0,143000,0,0,0,70579,0.634502876590638
1,0,0,0,1,0,322000,0,0,0,54894,0.415085899045076
1,0,0,0,1,0,224000,0,0,0,196000,0.690923309313818
1,0,0,0,1,0,537000,0,0,0,235000,0.614549870523302
1,0,0,0,1,0,358000,0,0,0,118000,0.560015344108733
1,0,0,0,1,0,447000,0,0,0,94105,0.462036283474469
1,0,0,0,1,0,358000,0,0,0,314000,0.691002080543027
1,0,0,0,1,0,447000,0,0,0,235000,0.644023371016273
1,0,0,0,1,0,358000,0,0,0,667000,0.646992506443561
1,0,0,0,1,0,537000,0,0,0,431000,0.6871395629109
1,0,0,0,1,0,537000,0,0,0,667000,0.687306671236722
1,0,0,0,1,0,80485,0,0,0,274000,0.535684348570351
1,0,0,0,1,0,537000,0,0,0,588000,0.69211927275794
1,0,0,0,1,0,80485,0,0,0,196000,0.603134365862431
1,0,0,0,1,0,224000,0,0,0,392000,0.655481773901393
1,0,0,0,1,0,161000,0,0,0,431000,0.585198037591415
1,0,0,0,1,0,268000,0,0,0,549000,0.63277427825579
1,0,0,0,1,0,358000,0,0,0,274000,0.684288270283278
0,1,1,0,0,0,0,445000,311000,0,0,0.677355329550275
0,1,1,0,0,0,0,668000,164000,0,0,0.496377399852882
0,1,1,0,0,0,0,668000,49063,0,0,0.249538311925524
0,1,1,0,0,0,0,668000,98125,0,0,0.3827197735859
0,1,1,0,0,0,0,668000,245000,0,0,0.581606897565464
0,1,1,0,0,0,0,668000,196000,0,0,0.535444327679448
0,1,1,0,0,0,0,668000,327000,0,0,0.633213615745647
0,1,1,0,0,0,0,334000,49063,0,0,0.382721956489168
0,1,1,0,0,0,0,256000,98125,0,0,0.590185251290581
0,1,1,0,0,0,0,557000,409000,0,0,0.681364313031355
0,1,1,0,0,0,0,44530,81771,0,0,0.649023341378612
0,1,1,0,0,0,0,668000,245000,0,0,0.581606897565464
0,1,1,0,0,0,0,2e+05,131000,0,0,0.6712593945645
0,1,1,0,0,0,0,390000,65417,0,0,0.411520047836239
0,1,1,0,0,0,0,557000,425000,0,0,0.684085467791967
0,1,1,0,0,0,0,557000,1140000,0,0,0.632915393800853
0,1,1,0,0,0,0,445000,883000,0,0,0.63772510737277
0,1,1,0,0,0,0,557000,213000,0,0,0.589735878567723
0,1,1,0,0,0,0,557000,0,0,0,0
0,1,1,0,0,0,0,557000,0,0,0,0
0,1,1,0,0,0,0,557000,0,0,0,0
0,1,1,0,0,0,0,156000,0,0,0,0
0,1,1,0,0,0,0,367000,0,0,0,0
0,1,1,0,0,0,0,557000,32708,0,0,0.214301772391706
0,1,1,0,0,0,0,223000,49063,0,0,0.471903970968557
0,1,1,0,0,0,0,445000,425000,0,0,0.69288292158328
0,1,1,0,0,0,0,289000,16354,0,0,0.208859786359143
0,1,1,0,0,0,0,289000,0,0,0,0
0,1,1,0,0,0,0,145000,0,0,0,0
0,1,1,0,0,0,0,668000,376000,0,0,0.653506322238485
0,1,1,0,0,0,0,334000,49063,0,0,0.382721956489168
0,1,1,0,0,0,0,77928,81771,0,0,0.692857614069451
0,1,1,0,0,0,0,22265,16354,0,0,0.681387424356402
0,1,1,0,0,0,0,445000,409000,0,0,0.6922584134777
0,1,1,0,0,0,0,134000,49063,0,0,0.581271045915064
0,1,1,0,0,0,0,11133,49063,0,0,0.478810824432791
0,1,1,0,0,0,0,668000,1470000,0,0,0.621040268765314
0,1,1,0,0,0,0,668000,1470000,0,0,0.621040268765314
0,1,1,0,0,0,0,334000,0,0,0,0
0,1,1,0,0,0,0,278000,1140000,0,0,0.494878654349524
0,1,1,0,0,0,0,334000,654000,0,0,0.639738062619097
0,1,1,0,0,0,0,167000,0,0,0,0
0,1,1,0,0,0,0,167000,32708,0,0,0.445883721244113
0,1,1,0,0,0,0,668000,131000,0,0,0.446170270845336
0,1,1,0,0,0,0,55663,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,NA
0,1,1,0,0,0,0,11133,16354,0,0,0.674997684898871
0,1,1,0,0,0,0,55663,32708,0,0,0.659020270785609
0,1,0,1,0,0,0,501000,0,491000,0,0.693096369995934
0,1,0,1,0,0,0,33398,0,425000,0,0.260969956978992
0,1,0,1,0,0,0,223000,0,98125,0,0.615507159001332
0,1,0,1,0,0,0,557000,0,16354,0,0.129571253340223
0,1,0,1,0,0,0,0,0,65417,0,0
0,1,0,1,0,0,0,445000,0,131000,0,0.53615296468317
0,1,0,1,0,0,0,167000,0,376000,0,0.617126843712576
0,1,0,1,0,0,0,0,0,32708,0,0
0,1,0,1,0,0,0,66796,0,164000,0,0.601627735191178
