"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","diversity.desirability"
0,0,1,0,0,1,1,0,0,0,0,0,160,0,0,0,120,0,0,0.682908104700472
0,0,1,0,0,1,1,0,0,0,0,0,177,0,0,2,85,0,0,0.66992579319039
0,0,1,0,0,1,1,0,0,0,0,0,199,0,0,0,39,0,0,0.446024605103281
0,0,1,0,0,1,1,0,1,0,0,0,234,0,0,0,47,0,13,0.612673577130944
0,0,1,0,0,1,1,0,1,0,0,0,191,0,0,0,48,0,18,0.720171163017336
0,0,1,0,0,1,1,0,1,0,0,0,274,0,0,1,4,0,15,0.29527013600758
0,0,1,0,0,1,1,1,0,0,0,0,159,0,0,1,7,54,0,0.714984974319224
0,0,1,0,0,1,1,1,0,0,0,0,140,0,0,0,15,37,0,0.746794044164906
0,0,1,0,0,1,1,1,0,0,0,0,203,0,0,0,14,53,0,0.687484596856305
0,0,1,0,0,1,1,1,1,0,0,0,234,0,0,0,20,15,0,0.475452868518883
0,0,1,0,0,1,1,1,1,0,0,0,207,0,0,1,31,38,18,0.939241935130652
0,0,1,0,0,1,1,1,1,0,0,0,165,0,0,0,22,119,28,1.10305309138192
0,0,1,0,1,0,0,0,0,0,0,0,18,0,320,0,0,0,0,0.207988468571368
0,0,1,0,1,0,0,0,0,0,0,0,47,0,347,0,0,0,0,0.365506655688967
0,0,1,0,1,0,0,0,0,0,0,0,79,0,256,0,0,0,0,0.546214692626073
0,0,1,0,1,0,0,0,1,0,0,0,116,0,219,0,0,0,13,0.780456753782658
0,0,1,0,1,0,0,0,1,0,0,0,77,0,224,0,0,0,11,0.70114876120998
0,0,1,0,1,0,0,0,1,0,0,0,37,0,217,0,0,0,4,0.488669406896053
0,0,1,0,1,0,0,1,0,0,0,0,34,0,230,0,0,15,0,0.572877545599797
0,0,1,0,1,0,0,1,0,0,0,0,13,0,182,0,0,33,0,0.622949540255447
0,0,1,0,1,0,0,1,0,0,0,0,65,0,185,0,0,51,0,0.930950439328121
0,0,1,0,1,0,0,1,1,0,0,0,8,0,143,0,0,48,10,0.867856673428329
0,0,1,0,1,0,0,1,1,0,0,0,4,0,215,0,0,56,5,0.6572923255433
0,0,1,0,1,0,0,1,1,0,0,0,9,0,208,0,0,29,41,0.851499722455145
0,0,1,0,1,0,1,0,0,0,0,0,36,0,191,0,4,0,0,0.517153277682807
0,0,1,0,1,0,1,0,0,0,0,0,92,0,151,0,6,0,0,0.760969517898709
0,0,1,0,1,0,1,0,0,0,0,0,61,0,159,0,75,0,0,1.00721033131334
0,0,1,0,1,0,1,0,1,0,0,0,28,0,191,0,7,0,25,0.782109442291528
0,0,1,0,1,0,1,0,1,0,0,0,92,0,194,0,4,0,17,0.867959030192303
0,0,1,0,1,0,1,0,1,0,0,0,38,0,171,0,12,0,4,0.736914626766673
0,0,1,0,1,0,1,1,0,0,0,0,30,0,188,0,25,49,0,1.02723975880588
0,0,1,0,1,0,1,1,0,0,0,0,17,0,246,0,7,45,0,0.713215915741924
0,0,1,0,1,0,1,1,0,0,0,0,40,0,242,0,4,36,0,0.77321624391902
0,0,1,0,1,0,1,1,1,0,0,0,30,0,119,0,20,24,29,1.32794254583996
0,0,1,0,1,0,1,1,1,0,0,0,37,0,209,0,13,33,1,0.905835023338311
0,0,1,0,1,0,1,1,1,0,0,0,43,0,179,0,10,25,1,0.925938612937262
0,0,1,0,1,1,0,0,0,0,0,0,86,0,168,0,0,0,0,0.640090896870705
0,0,1,0,1,1,0,0,0,0,0,0,67,0,306,0,0,0,0,0.470823870859303
0,0,1,0,1,1,0,0,0,0,0,0,90,0,323,0,0,0,0,0.52425977036868
0,0,1,0,1,1,0,0,1,0,0,0,50,0,197,0,0,0,2,0.546454586449001
0,0,1,0,1,1,0,0,1,0,0,0,79,0,231,0,0,0,1,0.587429981390073
0,0,1,0,1,1,0,0,1,0,0,0,96,0,221,0,0,0,3,0.66061093241146
0,0,1,0,1,1,0,1,0,0,0,0,3,0,216,0,0,52,0,0.547430089174837
0,0,1,0,1,1,0,1,0,0,0,0,53,0,164,0,0,2,0,0.602816661585675
0,0,1,0,1,1,0,1,0,0,0,0,19,0,225,0,0,17,0,0.496583403686247
0,0,1,0,1,1,0,1,1,0,0,0,10,0,287,0,0,29,26,0.665735334941512
0,0,1,0,1,1,0,1,1,0,0,0,17,0,330,0,0,36,0,0.488839468017854
0,0,1,0,1,1,0,1,1,0,0,0,51,0,153,0,0,17,0,0.79026796807459
0,0,1,0,1,1,1,0,0,0,0,0,38,0,220,2,36,0,0,0.774078000227229
0,0,1,0,1,1,1,0,0,0,0,0,46,0,159,0,17,0,0,0.761966124032321
0,0,1,0,1,1,1,0,0,0,0,0,4,0,216,0,50,0,0,0.553212833903314
0,0,1,0,1,1,1,0,1,0,0,0,20,0,335,0,6,0,15,0.453472963963356
0,0,1,0,1,1,1,0,1,0,0,0,42,0,184,0,26,0,1,0.785402084156321
0,0,1,0,1,1,1,0,1,0,0,0,85,0,142,0,3,0,8,0.845026269551731
