"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action","temperature.initial","Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome","diversity.desirability"
1,1,0,1,0,0,17,0.000347287579778299,0.0654454126500967,0,0.054774793820046,0,0,0.706944036127455
1,1,0,1,0,0,17,0.00178252573844044,0.0790767658716976,0,0.0297716438754822,0,0,0.659766323090957
1,1,0,1,0,0,19,0.00189782006142338,0.113603641264746,0,0.0738343962006162,0,0,0.719855866122478
1,1,0,1,0,0,19,0.00324834529103447,0.0350201880565254,0,0.0406655742144391,0,0,0.833542632087646
1,1,0,1,0,0,21,0.00113015156542235,0.0242684111030974,0,0.0109391568227887,0,0,0.738940908094013
1,1,0,1,0,0,21,0.000232694090947696,0.0175521357369783,0,0.0130035647545349,0,0,0.721321942686875
1,1,0,1,0,0,23,0.000828441155095988,0.0199304738363962,0,0.0060693696615251,0,0,0.664404151943362
1,1,0,1,0,0,23,0.00362685521772529,0.000528835033054514,0,0.00729942263133093,0,0,0.793269943346691
1,1,0,1,0,0,25,3.73636459924673e-05,0.0057720146567371,0,0.0192185409750977,0,0,0.5508423337337
1,1,0,1,0,0,25,0.00069937240247895,0.0030508796636457,0,0.0350174528774811,0,0,0.364391392060357
0,0,1,0,0,0,15,0,0,0.00606791856213171,0,0,0,0
0,0,1,0,0,0,15,0,0,0.00818461607813202,0,0,0,0
0,0,1,0,0,0,15,0,0,0.0137694090843705,0,0,0,0
0,0,1,0,0,0,17,0,0,0.00231841478411422,0,0,0,0
0,0,1,0,0,0,17,0,0,0.0113873374016454,0,0,0,0
0,0,1,0,0,0,17,0,0,0.00256070048739447,0,0,0,0
0,0,1,0,0,0,19,0,0,0.00108547903081253,0,0,0,0
0,0,1,0,0,0,19,0,0,0.00794445559696494,0,0,0,0
0,0,1,0,0,0,19,0,0,0.0161399707407127,0,0,0,0
0,0,1,0,0,0,21,0,0,0.00262996341895741,0,0,0,0
0,0,1,0,0,0,21,0,0,0.00349096519404143,0,0,0,0
0,0,1,0,0,0,21,0,0,0.0202403352168787,0,0,0,0
0,0,1,0,0,0,23,0,0,0.00252476823132981,0,0,0,0
0,0,1,0,0,0,23,0,0,0.00149954004679065,0,0,0,0
0,0,1,0,0,0,23,0,0,0.00709133749009087,0,0,0,0
0,0,1,0,0,0,25,0,0,0.0013604364866815,0,0,0,0
0,0,1,0,0,0,25,0,0,0.0101521821115636,0,0,0,0
0,0,1,0,0,0,25,0,0,0.0114425863912732,0,0,0,0
0,0,1,1,0,0,15,0,0,0.0270240177254358,0.0845003278942408,0,0,0.553733680694206
0,0,1,1,0,0,15,0,0,0.00948556067622797,0.133635534636727,0,0,0.243899044120926
0,0,1,1,0,0,17,0,0,0.00818017202402165,0.149753399773269,0,0,0.203767022186561
0,0,1,1,0,0,17,0,0,0.00711155702784139,0.0061923623386364,0,0,0.690758424150676
0,0,1,1,0,0,19,0,0,0.00246470979856546,0.0421694007290171,0,0,0.213608284044737
0,0,1,1,0,0,19,0,0,0.00830766072377187,0.203158269675264,0,0,0.165668495064976
0,0,1,1,0,0,21,0,0,0.0015042518327674,0.186765429076677,0,0,0.0465456281856001
0,0,1,1,0,0,21,0,0,0.00401062404674455,0.183921460335157,0,0,0.103212438137992
0,0,1,1,0,0,23,0,0,0.00574379035009246,0.170264640981436,0,0,0.143780918253998
0,0,1,1,0,0,23,0,0,0.000763235287116928,0.146654591442384,0,0,0.0324147661296346
0,0,1,1,0,0,25,0,0,0.00103125698017405,0.083775293250224,0,0,0.0657070268078887
0,0,1,1,0,0,25,0,0,0.00209768905590457,0.120374860635893,0,0,0.0866400577074409
0,0,1,1,1,1,15,0,0,0.00229585183410107,0.0122943549585767,0.0559808233175496,0.0248688623453665,1.01701459052884
0,0,1,1,1,1,15,0,0,0.00157252894670008,0.0112095915140646,0.0518871870155745,0.0365600915553386,1.01875775430922
0,0,1,1,1,1,17,0,0,0.000630525676488877,0.00831231325296346,0.0992531769235192,0.0763669697463262,0.857749871631508
0,0,1,1,1,1,17,0,0,0.00184456585605019,0.0255556401278031,0.066943075683412,0.0373580014395192,1.0793122873467
0,0,1,1,1,1,19,0,0,0.000705605782067518,0.0613702270031182,0.0321331479279333,0.0808156533721407,1.05770409586833
0,0,1,1,1,1,19,0,0,0.000378621776720362,0.00692899021304096,0.0545834566268146,0.0485382898643482,0.902789795872472
0,0,1,1,1,1,21,0,0,0.000647447598971826,0.021026028766737,0.0313813145236884,0.0139499043435782,1.09050215206481
0,0,1,1,1,1,21,0,0,0.0011567465160218,0.0147105400364433,0.0466457193715184,0.0402699422885574,1.05439515733229
0,0,1,1,1,1,23,0,0,0,0.0120859384677408,0.00908168012348619,0,0.683041444108802
0,0,1,1,1,1,23,0,0,0.000725672652979977,0.0135494842167361,0.00814331687190131,0.0164407892615929,1.13312337826318
0,0,1,1,1,1,25,0,0,0.00124394720947462,0.0121735334647274,0.00230929402531401,0.0179456260514927,1.00885613007196
0,0,1,1,1,1,25,0,0,0.000940175576157906,0.00966369058900694,0.0061594776625693,0.000671181281216517,0.977520665895242
0,0,1,0,1,0,15,0,0,0.00737767435856081,0,0.0141708770203915,0,0.642597916749292
